# LAMMPS data file written by OVITO Pro 3.15.0

96 atoms
2 atom types

7.7348724699 0.0 0.0 avec
0.0 9.9853 0.0 bvec
0.0 0.0 13.8679 cvec
0.0 0.0 0.0 abc origin

Masses

1 15.9994  # O
2 1.00784  # H

Atoms  # atomic

3 1 5.9982826449 6.6977097863 8.8866451111 -1 1 -1
89 2 5.8246845158 7.3666121361 9.646387333 1 0 0
90 2 6.4075436587 7.4982357002 5.1378896696 0 -1 1
75 1 6.5922106616 8.0059961443 6.5748591465 0 0 0
86 2 7.4898511469 8.4298971598 6.7315430488 0 0 0
18 2 6.3764660728 7.6270800603 7.4710226131 0 0 0
69 2 5.8233047484 8.4246774826 11.7267326497 1 -1 0
76 1 5.2705908163 8.4228364849 10.9049788009 2 -1 0
31 1 6.7853128288 8.7092505478 12.884736427 0 0 0
42 2 6.717677319 8.0820308932 13.6901647123 0 0 0
66 2 5.1254134001 9.328495963 5.9892441181 0 -1 1
57 2 7.1337785582 9.6149605642 13.1527170593 -2 -1 0

Velocities

65 7.4679232478 -7.8828539261 -8.6828700032
8 -3.2698446522 2.7759298822 7.1248321905
13 -5.4096099937 -10.7428160626 -17.6402331599
78 7.5786684666 -0.831400287 1.3518050789
28 4.5731426463 -0.5912725105 -2.9525719307
6 5.8253777063 1.985625022 -1.6311752103
21 18.7905938446 -1.7767322402 18.8179105791
51 3.7374759583 -0.1979634053 -6.3004265071
41 -13.5647838564 -34.9721136228 -32.5919124903
48 -9.4545396185 4.4946050337 -9.0611809149
36 15.7478300657 -1.8533826517 24.2567327005
62 2.9057135887 -4.6233006913 -25.6292911328
47 -18.300980863 -5.0693809079 5.576446379
43 -1.8711551729 -39.6390343662 18.8612485532
30 -1.5191627502 -3.9053326079 -3.1978407383
29 -4.7919305038 1.8254503654 7.04280403
70 22.6748698871 -9.6086886021 -15.505453518
27 -2.0918522277 1.8791680336 3.1075932381
63 -18.2310849144 -48.3701717196 -5.039069849
77 -0.0666902864 -2.5048594741 1.2445592027
35 15.071752915 12.8645446739 4.2159194131
64 -12.0311734791 23.0352608238 -17.3744749244
14 33.8395577321 -21.2710737311 -23.6240810642
52 -7.9925945456 2.1829309207 4.5986187089
11 -3.0149894328 26.5719313841 -1.0831984502
5 -1.0476166072 1.0056054336 -6.1962641941
9 -29.4831661977 -14.2149982538 1.3486201482
80 -4.0575921862 1.0096329518 -7.3713784658
85 -41.2902027732 4.627936453 5.812536647
92 11.6842687952 7.8275444076 4.1064557198
32 -2.911502541 -8.0919650015 8.0158425224
53 0.2884140692 -1.6189524111 4.4533225592
34 11.957472349 -5.0504698164 3.9157048607
54 -3.9988041734 0.1856306138 -0.0050096989
72 19.4993582105 -2.4662240326 11.3190662917
49 1.6221076439 5.1721958889 -2.6481071215
94 -13.7471220993 -5.4485523263 -9.3419229274
68 -8.1911884806 1.5147330971 -2.411603737
26 0.4126216479 -5.1290908699 1.5522026946
84 10.2704458558 -5.2519031473 2.8506287416
82 -12.4519463618 0.9326259429 -10.9157801173
88 -4.0295564545 1.3930536564 2.7979525587
37 -20.4356908089 5.4138966816 2.6642144694
33 19.2282785041 -15.2700680447 14.59826906
55 -6.8012063026 0.7282862876 -0.934213048
45 31.8796711608 -28.1878542013 10.5246194607
87 -10.9528029181 11.1188773792 8.045275248
12 4.2349752825 2.5511079604 4.0182980138
7 4.2284719687 -3.8119245323 3.8031836595
25 -0.2174002601 4.9776727794 3.4403087535
46 -1.6066284 9.4710288808 -9.1729505091
91 11.4442737027 -0.1474087693 4.1684958467
60 26.3657266025 11.5659333185 4.3762931615
2 -6.4813084735 -1.5981405249 -4.0574443735
39 9.0008135978 -23.3994840774 -15.7821610344
44 -19.0595747398 30.9919996779 -12.9723789207
22 9.7090721914 -10.3425411714 9.3198957797
4 -1.5109027974 2.9992807929 -0.1620179271
16 40.0134752634 -26.0074012886 51.2669730049
81 -6.3061417238 -14.8941015831 -15.9529242397
10 3.8822524675 9.2081154255 -12.6600159296
93 -9.4415382324 18.3088396866 -34.0879113026
96 -9.5271506059 0.2548747024 6.932838257
67 9.0719387778 19.0462476968 7.1325179052
1 -2.8280601719 4.5087595089 -2.1978317767
24 -7.4869226028 -17.5643980547 -1.0849414945
50 3.3167805172 1.1215587114 0.4808094533
58 7.7756172871 -9.5411625796 -10.2762550614
15 -7.0690338338 34.7375636348 -11.6043608917
79 0.4166031546 -5.5763883394 0.4236864249
71 9.4249939714 -4.611111178 18.3687661077
23 4.7907777435 32.7574666029 -2.7311000919
40 32.307365743 10.8388861444 -24.5149568193
73 5.0456547795 0.7066258792 1.4618527949
95 8.3147568712 3.6528105395 6.2500390705
59 12.6040938133 -24.0795464575 -1.9793172831
17 25.3833377434 -10.2514703027 -0.3385919601
38 6.0144100436 -31.668221137 -3.2330185475
56 -3.0451972682 -5.5206736225 -2.3791591574
19 1.114934148 2.2965253393 11.7994739596
61 -1.3287635531 4.4394202343 -2.2572127061
20 -6.1383290011 -13.0937020833 -10.2331024378
74 3.4720764042 5.5535819825 -3.2694524911
83 24.2923094049 -15.4499011938 -7.0572267631
3 4.2058706084 2.9893983849 5.9954388872
89 5.0771985249 -10.9282993015 -28.3151429792
90 15.5252344668 -0.1632732757 17.044620498
75 -3.4570119112 2.9144736832 -6.663907491
86 1.6910645992 -20.5898384555 -8.8716300158
18 -23.7749175881 -8.8975011337 15.1330319689
69 19.8348966771 -29.8495075695 -16.5423471564
76 1.5905162503 2.7650100557 -0.835900701
31 -0.7029368854 5.4722045985 -0.0905643697
42 6.6562771091 -3.4841938389 36.7914378453
66 7.0682559974 14.8909725403 -2.2181773479
57 -42.08039747 19.4324158797 27.6221955015
