Time[fs] MSD(O) MSD(Si) VAC(O) VAC(Si) Samples(O) Samples(Si) VAC_trunc(O) VAC_trunc(Si) Jt 
66.5 25.9623 24.2087 -0.0219079 0.00962495 3072 1536 -0.0110036 0.00483428 0.201781
66.75 25.9632 24.2094 -0.0218789 0.00841877 3072 1536 -0.0109147 0.00419984 0.205237
67 26.4816 24.4724 -0.0231419 0.00942868 3072 1536 -0.0114659 0.00467152 0.227448
67.25 26.482 24.4732 -0.0229387 0.00783017 3072 1536 -0.0112869 0.00385279 0.221932
67.5 26.4825 24.4738 -0.022781 0.00607873 3072 1536 -0.0111313 0.00297019 0.214177
67.75 26.2051 24.4373 -0.0186913 -0.00293679 3072 1536 -0.00906885 -0.00142491 0.206858
68 26.2053 24.4379 -0.0192456 -0.00574605 3072 1536 -0.00927164 -0.00276818 0.195934
68.25 26.1531 24.5055 -0.0142681 -0.0382332 3072 1536 -0.00682457 -0.0182873 0.205011
68.5 26.1537 24.5058 -0.0153829 -0.0401713 3072 1536 -0.00730468 -0.0190756 0.189744
68.75 26.1543 24.5061 -0.0165302 -0.0419917 3072 1536 -0.00779229 -0.0197947 0.172595
69 26.155 24.5063 -0.0176938 -0.0436808 3072 1536 -0.00827947 -0.0204395 0.153702
69.25 26.1556 24.5065 -0.0188569 -0.0452272 3072 1536 -0.00875817 -0.021006 0.133233
69.5 26.1563 24.5067 -0.0200018 -0.0466215 3072 1536 -0.0092203 -0.0214913 0.111385
69.75 26.1569 24.5069 -0.021111 -0.0478569 3072 1536 -0.00965798 -0.0218939 0.0883809
70 26.1576 24.507 -0.0221671 -0.0489292 3072 1536 -0.0100637 -0.0222134 0.0644738
70.25 26.1582 24.5071 -0.0231533 -0.0498369 3072 1536 -0.0104303 -0.0224509 0.03994
70.5 26.1589 24.5071 -0.0240532 -0.0505813 3072 1536 -0.0107513 -0.0226088 0.0150748
70.75 26.1595 24.5072 -0.0248518 -0.0511663 3072 1536 -0.0110208 -0.0226903 -0.00981268
71 26.1601 24.5072 -0.0255349 -0.0515984 3072 1536 -0.0112338 -0.0227001 -0.0344086
71.25 26.1607 24.5072 -0.02609 -0.0518862 3072 1536 -0.0113859 -0.0226436 -0.0584007
71.5 26.1613 24.5071 -0.026506 -0.0520405 3072 1536 -0.0114737 -0.0225269 -0.0814893
71.75 26.1619 24.5071 -0.0267741 -0.0520738 3072 1536 -0.0114949 -0.0223568 -0.103393
72 26.7799 25.1657 -0.0152437 -0.0489977 3072 1536 -0.00649047 -0.0208622 -0.0892773
72.25 26.7807 25.1655 -0.014651 -0.0479198 3072 1536 -0.00618597 -0.0202328 -0.10463
72.5 25.772 24.2458 -0.0163317 -0.0210743 3072 1536 -0.00683742 -0.00882298 -0.0566736
72.75 25.7725 24.2457 -0.0159314 -0.0203163 3072 1536 -0.00661297 -0.00843311 -0.0597094
73 27.1837 25.7425 -0.0205255 0.00355348 3072 1536 -0.00844652 0.00146231 -0.061531
73.25 27.1845 25.7427 -0.0207051 0.00398504 3072 1536 -0.00844629 0.00162563 -0.0570243
73.5 27.1852 25.743 -0.0207917 0.00442238 3072 1536 -0.00840698 0.00178816 -0.0522693
73.75 27.186 25.7432 -0.0207854 0.0048555 3072 1536 -0.00832974 0.00194584 -0.0473486
74 27.1867 25.7435 -0.0206878 0.00527369 3072 1536 -0.00821611 0.00209443 -0.0423425
74.25 27.1874 25.7438 -0.0205009 0.0056663 3072 1536 -0.00806795 0.00222992 -0.037327
74.5 27.1881 25.7441 -0.0202277 0.00602249 3072 1536 -0.00788734 0.00234834 -0.0323716
74.75 27.1887 25.7444 -0.0198716 0.00633156 3072 1536 -0.00767657 0.00244594 -0.0275391
75 27.1894 25.7448 -0.0194364 0.00658304 3072 1536 -0.00743799 0.00251922 -0.022885
75.25 27.19 25.7451 -0.0189263 0.00676694 3072 1536 -0.00717407 0.00256502 -0.0184589
75.5 27.1907 25.7455 -0.018346 0.00687411 3072 1536 -0.00688737 0.00258065 -0.0143032
75.75 27.1913 25.7458 -0.0177004 0.00689672 3072 1536 -0.00658053 0.00256401 -0.0104522
76 27.1919 25.7462 -0.0169947 0.00682844 3072 1536 -0.00625615 0.00251372 -0.00693572
76.25 27.1925 25.7466 -0.0162344 0.00666483 3072 1536 -0.00591695 0.00242913 -0.00377468
76.5 27.1931 25.747 -0.0154253 0.0064038 3072 1536 -0.00556562 0.00231056 -0.000983045
76.75 27.1938 25.7474 -0.0145737 0.00604566 3072 1536 -0.00520492 0.00215918 0.00143374
77 25.4431 24.3648 -0.0183875 -0.00110509 3072 1536 -0.00649953 -0.000390621 0.00242649
77.25 25.4431 24.3644 -0.0185249 -0.000904641 3072 1536 -0.00648 -0.000316442 0.00429683
77.5 25.4431 24.364 -0.0186285 -0.000735392 3072 1536 -0.00644765 -0.000254532 0.00635393
77.75 26.0514 24.4022 -0.017241 -0.00622556 3072 1536 -0.00590384 -0.00213182 0.0454391
78 26.0516 24.4019 -0.017624 -0.0057953 3072 1536 -0.00596991 -0.00196309 0.0485466
78.25 26.0518 24.4017 -0.0179478 -0.00547647 3072 1536 -0.00601323 -0.00183484 0.0516317
78.5 26.0521 24.4015 -0.0182091 -0.00527705 3072 1536 -0.00603337 -0.00174849 0.0546758
78.75 26.0525 24.4013 -0.018405 -0.00520479 3072 1536 -0.00603004 -0.00170524 0.0576629
79 26.0528 24.4011 -0.0185333 -0.00526706 3072 1536 -0.00600326 -0.00170609 0.0605842
79.25 26.0532 24.401 -0.0185922 -0.0054709 3072 1536 -0.00595321 -0.00175178 0.0634347
79.5 26.0536 24.4009 -0.0185805 -0.00582276 3072 1536 -0.00588029 -0.00184277 0.0662143
79.75 26.054 24.4009 -0.0184975 -0.00632811 3072 1536 -0.00578509 -0.00197911 0.0689243
80 26.0544 24.4009 -0.0183433 -0.00699135 3072 1536 -0.00566841 -0.00216045 0.0715644
80.25 26.0548 24.4009 -0.0181182 -0.00781515 3072 1536 -0.00553112 -0.00238581 0.0741311
80.5 26.0553 24.401 -0.0178229 -0.00880006 3072 1536 -0.00537427 -0.00265355 0.0766155
80.75 26.0557 24.4011 -0.0174583 -0.0099435 3072 1536 -0.00519893 -0.00296109 0.0790002
81 26.0561 24.4013 -0.0170259 -0.0112398 3072 1536 -0.0050063 -0.00330494 0.0812627
81.25 26.0566 24.4015 -0.0165271 -0.0126792 3072 1536 -0.00479758 -0.00368059 0.0833713
81.5 26.057 24.4017 -0.0159637 -0.014249 3072 1536 -0.004574 -0.00408268 0.0852879
81.75 26.0574 24.4019 -0.0153375 -0.015932 3072 1536 -0.00433683 -0.00450493 0.0869705
82 26.7789 25.3526 0.00504264 -0.0290158 3072 1536 0.00140685 -0.00809516 0.107683
82.25 26.7795 25.3524 0.00609158 -0.0301715 3072 1536 0.00167651 -0.00830373 0.109986
82.5 25.1674 24.193 0.00836141 -0.00923372 3072 1536 0.00226962 -0.00250641 0.0287661
82.75 25.1679 24.1931 0.00853209 -0.00811933 3072 1536 0.00228369 -0.00217321 0.0292623
83 25.1684 24.1933 0.00859201 -0.00695725 3072 1536 0.0022672 -0.00183583 0.0297448
83.25 25.1689 24.1934 0.00854349 -0.00575874 3072 1536 0.00222202 -0.00149775 0.0302126
83.5 25.1694 24.1936 0.00838964 -0.00453637 3072 1536 0.00215018 -0.00116262 0.0306602
83.75 25.1699 24.1939 0.00813397 -0.00330392 3072 1536 0.00205376 -0.000834212 0.0310786
84 25.1703 24.1941 0.00778028 -0.00207663 3072 1536 0.00193488 -0.000516436 0.0314573
84.25 25.1708 24.1944 0.00733243 -0.000870658 3072 1536 0.0017956 -0.000213211 0.0317864
84.5 25.1712 24.1947 0.00679427 0.000297735 3072 1536 0.00163793 7.17765e-05 0.0320561
84.75 25.1717 24.195 0.00616933 0.00141269 3072 1536 0.00146375 0.000335178 0.0322584
85 25.1721 24.1954 0.00546114 0.00245985 3072 1536 0.00127488 0.000574241 0.0323872
85.25 25.1726 24.1958 0.00467312 0.00342712 3072 1536 0.00107307 0.000786953 0.032437
85.5 25.173 24.1961 0.00380862 0.00430521 3072 1536 0.000859992 0.000972122 0.032402
85.75 25.1734 24.1965 0.00287134 0.00508804 3072 1536 0.000637362 0.00112941 0.0322732
86 25.1738 24.1969 0.00186541 0.0057733 3072 1536 0.000406927 0.00125941 0.0320395
86.25 25.1742 24.1974 0.000795536 0.00636252 3072 1536 0.000170491 0.00136355 0.031687
86.5 25.1746 24.1978 -0.00033276 0.00686067 3072 1536 -7.00367e-05 0.00144398 0.0311988
86.75 25.175 24.1982 -0.00151313 0.00727552 3072 1536 -0.000312661 0.00150335 0.0305556
87 23.0879 21.6156 0.00233539 0.00978696 3072 1536 0.000473588 0.00198467 -0.000421599
87.25 24.3848 22.4524 -0.00212789 0.0169648 3072 1536 -0.000423323 0.00337497 0.0142286
87.5 24.3847 22.4522 -0.00198721 0.0150893 3072 1536 -0.000387686 0.00294378 0.00396616
87.75 24.3847 22.452 -0.00196683 0.0131186 3072 1536 -0.000376132 0.00250877 -0.00615539
88 24.3847 22.4518 -0.00207135 0.0110768 3072 1536 -0.000388131 0.00207558 -0.0160531
88.25 24.3847 22.4516 -0.00230354 0.00898851 3072 1536 -0.000422752 0.00164959 -0.025642
88.5 24.3847 22.4514 -0.00266452 0.00687887 3072 1536 -0.000478709 0.00123586 -0.0348364
88.75 24.3848 22.4513 -0.00315358 0.00477283 3072 1536 -0.000554388 0.000839045 -0.0435519
89 24.3848 22.4511 -0.00376817 0.00269455 3072 1536 -0.000647858 0.000463272 -0.0517054
89.25 24.3849 22.451 -0.00450418 0.000666657 3072 1536 -0.000756969 0.000112038 -0.0592182
89.5 24.3851 22.4509 -0.0053558 -0.00128971 3072 1536 -0.000879352 -0.000211753 -0.0660166
89.75 24.3852 22.4508 -0.00631557 -0.0031554 3072 1536 -0.00101246 -0.000505849 -0.0720332
90 24.3854 22.4507 -0.00737459 -0.00491369 3072 1536 -0.00115364 -0.00076867 -0.0772093
90.25 24.3855 22.4506 -0.00852272 -0.00655025 3072 1536 -0.00130018 -0.000999271 -0.0814959
90.5 24.3857 22.4505 -0.00974855 -0.00805321 3072 1536 -0.00144934 -0.00119729 -0.0848558
90.75 24.386 22.4504 -0.0110396 -0.00941311 3072 1536 -0.0015984 -0.00136291 -0.0872641
91 24.3862 22.4503 -0.0123822 -0.0106224 3072 1536 -0.00174467 -0.0014967 -0.0887102
91.25 24.3864 22.4503 -0.0137621 -0.0116752 3072 1536 -0.00188557 -0.00159964 -0.0891988
91.5 24.3867 22.4502 -0.0151637 -0.0125674 3072 1536 -0.00201861 -0.00167299 -0.0887492
91.75 24.387 22.4501 -0.0165711 -0.0132956 3072 1536 -0.00214145 -0.00171817 -0.0873975
92 25.2192 22.1473 -0.00178588 -0.0141158 3072 1536 -0.00022383 -0.00176918 -0.124185
92.25 24.7742 21.945 0.00419961 0.00278401 3072 1536 0.000509984 0.000338079 -0.0997524
92.5 24.7743 21.9447 0.00274153 0.0025249 3072 1536 0.000322232 0.000296771 -0.0986189
92.75 24.7745 21.9445 0.00130491 0.00235801 3072 1536 0.000148286 0.000267957 -0.0964992
93 24.7747 21.9442 -9.93646e-05 0.00228039 3072 1536 -1.09037e-05 0.000250237 -0.09347
93.25 24.7749 21.9439 -0.00146121 0.00228865 3072 1536 -0.00015464 0.000242208 -0.0896207
93.5 24.7751 21.9436 -0.0027715 0.00237896 3072 1536 -0.000282484 0.000242474 -0.0850518
93.75 24.7753 21.9433 -0.00402206 0.00254712 3072 1536 -0.00039423 0.000249662 -0.0798728
94 24.7756 21.9429 -0.00520551 0.00278878 3072 1536 -0.000489882 0.000262448 -0.0741996
94.25 24.7758 21.9426 -0.00631518 0.00309906 3072 1536 -0.000569617 0.000279529 -0.0681532
94.5 24.7761 21.9422 -0.00734532 0.0034728 3072 1536 -0.000633801 0.000299656 -0.0618561
94.75 24.7763 21.9418 -0.00829083 0.00390404 3072 1536 -0.000682943 0.000321589 -0.0554297
95 24.7766 21.9414 -0.00914743 0.00438629 3072 1536 -0.000717699 0.000344144 -0.0489916
95.25 24.7769 21.941 -0.00991171 0.00491198 3072 1536 -0.000738855 0.000366157 -0.0426522
95.5 24.7771 21.9405 -0.0105814 0.00547278 3072 1536 -0.000747335 0.000386526 -0.0365126
95.75 24.7774 21.9401 -0.0111556 0.00605984 3072 1536 -0.000744179 0.000404248 -0.0306615
96 24.7777 21.9396 -0.0116343 0.00666369 3072 1536 -0.000730521 0.000418417 -0.0251743
96.25 24.778 21.9392 -0.0120191 0.00727474 3072 1536 -0.000707573 0.00042827 -0.0201119
96.5 24.7782 21.9387 -0.0123126 0.00788324 3072 1536 -0.000676581 0.000433186 -0.0155198
96.75 24.7785 21.9382 -0.0125186 0.00848022 3072 1536 -0.00063881 0.000432735 -0.0114295
97 21.4104 20.3008 0.00132984 -0.00750457 3072 1536 6.26439e-05 -0.000353514 -0.00379677
97.25 22.103 21.6284 0.00327529 0.00122159 3072 1536 0.000141438 5.27525e-05 0.00299093
97.5 21.9165 21.8126 0.00413263 0.00886988 3072 1536 0.000162246 0.00034823 0.00707405
97.75 21.9161 21.8128 0.00500521 0.0108301 3072 1536 0.000176862 0.000382686 0.00640741
98 21.9157 21.8131 0.00578709 0.0127837 3072 1536 0.000181777 0.000401545 0.00565217
98.25 21.9154 21.8133 0.0064749 0.0147141 3072 1536 0.000177966 0.000404423 0.00483627
98.5 21.915 21.8136 0.00706584 0.0166031 3072 1536 0.00016647 0.000391164 0.00399071
98.75 21.9147 21.8139 0.0075579 0.0184312 3072 1536 0.00014839 0.000361873 0.00314821
99 21.9144 21.8143 0.00794972 0.0201789 3072 1536 0.000124869 0.000316957 0.00234118
99.25 21.9141 21.8147 0.00824079 0.021827 3072 1536 9.70823e-05 0.000257137 0.00159989
99.5 21.9138 21.8151 0.00843164 0.0233575 3072 1536 6.62213e-05 0.000183448 0.000950422
99.75 21.9136 21.8155 0.00852367 0.0247549 3072 1536 3.34723e-05 9.7212e-05 0.000412917
