Time[fs] MSD(O) MSD(Si) VAC(O) VAC(Si) Samples(O) Samples(Si) VAC_trunc(O) VAC_trunc(Si) Jt 
13.75 18.7628 16.6756 0.00332771 -0.0274713 3072 1536 0.0032504 -0.026833 0.0995478
14 18.7635 16.6757 0.00340003 -0.0261128 3072 1536 0.00331814 -0.0254839 0.141708
14.25 17.4563 15.6157 0.00599266 -0.0354941 3072 1536 0.00584316 -0.0346086 -0.257679
14.5 17.4569 15.6159 0.00562419 -0.0360284 3072 1536 0.00547894 -0.0350979 -0.263244
14.75 17.4574 15.6162 0.00503245 -0.0362305 3072 1536 0.00489798 -0.0352624 -0.26863
15 17.458 15.6166 0.00421778 -0.0360994 3072 1536 0.00410124 -0.0351019 -0.273874
15.25 17.4585 15.6169 0.00318532 -0.0356378 3072 1536 0.00309436 -0.0346202 -0.278989
15.5 17.4591 15.6173 0.0019447 -0.0348526 3072 1536 0.00188734 -0.0338247 -0.283947
15.75 17.4597 15.6176 0.000509668 -0.0337543 3072 1536 0.00049415 -0.0327266 -0.288675
16 17.4604 15.618 -0.00110267 -0.0323576 3072 1536 -0.00106803 -0.031341 -0.293052
16.25 17.461 15.6184 -0.00287233 -0.0306811 3072 1536 -0.00277926 -0.029687 -0.296903
16.5 17.4617 15.6188 -0.00477708 -0.028747 3072 1536 -0.00461753 -0.0277868 -0.3
16.75 17.4623 15.6192 -0.00679325 -0.0265803 3072 1536 -0.00655947 -0.0256656 -0.302066
17 17.463 15.6196 -0.00889606 -0.024209 3072 1536 -0.00858076 -0.023351 -0.30279
17.25 17.4636 15.6201 -0.01106 -0.0216628 3072 1536 -0.0106565 -0.0208724 -0.301849
17.5 17.4643 15.6205 -0.0132596 -0.0189727 3072 1536 -0.0127617 -0.0182604 -0.298922
17.75 17.465 15.621 -0.0154687 -0.0161704 3072 1536 -0.0148714 -0.015546 -0.293705
18 17.4657 15.6214 -0.0176618 -0.0132873 3072 1536 -0.0169605 -0.0127597 -0.285937
18.25 16.8108 15.0531 -0.0239998 -0.0105118 3072 1536 -0.0230203 -0.0100828 -0.337361
18.5 16.8115 15.0533 -0.0254653 -0.00705508 3072 1536 -0.0243977 -0.00675928 -0.326803
18.75 17.0859 15.7769 -0.0444921 0.027274 3072 1536 -0.0425762 0.0260996 0.41099
19 17.0857 15.7771 -0.0456155 0.0306925 3072 1536 -0.043599 0.0293357 0.418724
19.25 17.0855 15.7772 -0.0464806 0.0339764 3072 1536 -0.0443718 0.0324349 0.422357
19.5 17.0854 15.7774 -0.0470701 0.037119 3072 1536 -0.0448792 0.0353912 0.421836
19.75 17.0853 15.7776 -0.0473703 0.0401126 3072 1536 -0.045109 0.0381978 0.417179
20 17.0853 15.7778 -0.0473715 0.0429484 3072 1536 -0.0450529 0.0408463 0.408487
20.25 17.0854 15.7779 -0.047068 0.0456148 3072 1536 -0.0447068 0.0433266 0.395941
20.5 17.0855 15.7781 -0.0464583 0.0480979 3072 1536 -0.0440703 0.0456257 0.379801
20.75 17.0857 15.7783 -0.0455452 0.0503813 3072 1536 -0.0431472 0.0477287 0.360396
21 17.0859 15.7785 -0.0443355 0.0524459 3072 1536 -0.0419452 0.0496183 0.338121
21.25 17.0862 15.7787 -0.0428402 0.0542702 3072 1536 -0.0404757 0.0512748 0.313415
21.5 17.0866 15.7789 -0.0410739 0.0558317 3072 1536 -0.0387537 0.0526779 0.28676
21.75 17.087 15.7791 -0.039055 0.0571073 3072 1536 -0.0367978 0.0538068 0.258659
22 17.0874 15.7794 -0.0368053 0.0580753 3072 1536 -0.0346294 0.054642 0.229625
22.25 17.0879 15.7796 -0.0343494 0.0587158 3072 1536 -0.0322728 0.0551661 0.200168
22.5 17.0884 15.7798 -0.0317148 0.0590124 3072 1536 -0.0297545 0.0553649 0.170786
22.75 17.089 15.78 -0.028931 0.0589532 3072 1536 -0.0271033 0.0552289 0.141953
23 17.0896 15.7802 -0.0260293 0.0585314 3072 1536 -0.024349 0.0547528 0.114114
23.25 17.0902 15.7805 -0.0230423 0.0577456 3072 1536 -0.0215226 0.0539372 0.0876784
