Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
58.5 0.00185388 0.00231324 0.0029979 -0.315275 -0.278851 -0.0403107 7704 7704 23112 -0.315044 -0.278647 -0.0402812 0.219496
60 0.0019075 0.0023707 0.00295339 -0.330859 -0.288745 -0.00745662 7704 7704 23112 -0.330604 -0.288522 -0.00745087 0.240706
61.5 0.00195986 0.00242579 0.00290896 -0.34307 -0.299226 0.0222607 7704 7704 23112 -0.342793 -0.298984 0.0222426 0.25323
63 0.0020105 0.00247922 0.00286536 -0.355227 -0.307561 0.0485616 7704 7704 23112 -0.354925 -0.307299 0.0485203 0.248896
64.5 0.00205966 0.00253027 0.00282283 -0.364617 -0.314643 0.0713891 7704 7704 23112 -0.364292 -0.314363 0.0713255 0.232143
66 0.00210734 0.0025797 0.00278164 -0.372395 -0.32094 0.0912753 7704 7704 23112 -0.372047 -0.320641 0.0911902 0.217244
67.5 0.00215319 0.00262662 0.00274237 -0.380105 -0.327032 0.108256 7704 7704 23112 -0.379734 -0.326713 0.108151 0.202043
69 0.00219757 0.0026713 0.00270528 -0.385789 -0.330537 0.121352 7704 7704 23112 -0.385396 -0.3302 0.121228 0.173971
70.5 0.00223999 0.00271402 0.00267115 -0.390311 -0.333226 0.131161 7704 7704 23112 -0.389896 -0.332871 0.131021 0.156457
72 0.00228082 0.00275475 0.00264045 -0.392956 -0.336585 0.138928 7704 7704 23112 -0.392519 -0.336212 0.138774 0.140774
73.5 0.00232017 0.00279371 0.00261316 -0.39564 -0.336531 0.14581 7704 7704 23112 -0.395182 -0.336142 0.145642 0.123313
75 0.00235788 0.00283061 0.0025886 -0.39738 -0.335588 0.150386 7704 7704 23112 -0.396902 -0.335184 0.150205 0.117686
76.5 0.00239403 0.00286468 0.00256769 -0.394887 -0.334633 0.153269 7704 7704 23112 -0.394393 -0.334214 0.153077 0.106199
78 0.00242833 0.00289686 0.00255074 -0.391511 -0.330378 0.15519 7704 7704 23112 -0.391001 -0.329947 0.154988 0.0828631
79.5 0.00246091 0.00292655 0.00253729 -0.387927 -0.324611 0.156058 7704 7704 23112 -0.387402 -0.324171 0.155847 0.0671905
81 0.00249197 0.0029545 0.00252715 -0.383082 -0.316907 0.156911 7704 7704 23112 -0.382544 -0.316462 0.156691 0.0523749
82.5 0.00252115 0.00298003 0.00252071 -0.37848 -0.308291 0.156403 7704 7704 23112 -0.377928 -0.307842 0.156175 0.0283446
84 0.00254886 0.00300338 0.00251754 -0.373088 -0.299323 0.154437 7704 7704 23112 -0.372524 -0.29887 0.154204 0.0132179
85.5 0.00257462 0.00302508 0.00251799 -0.36608 -0.289238 0.150891 7704 7704 23112 -0.365506 -0.288785 0.150655 0.0105653
87 0.0025989 0.00304497 0.00252204 -0.358603 -0.279547 0.146976 7704 7704 23112 -0.358022 -0.279094 0.146737 0.00147319
88.5 0.00262184 0.00306338 0.00252969 -0.350978 -0.267575 0.144264 7704 7704 23112 -0.350389 -0.267126 0.144022 -0.00702818
90 0.00264326 0.00308023 0.00254033 -0.342937 -0.255042 0.140117 7704 7704 23112 -0.342342 -0.2546 0.139874 -0.010084
91.5 0.00266332 0.00309472 0.00255428 -0.333063 -0.243631 0.134328 7704 7704 23112 -0.332466 -0.243194 0.134087 -0.014134
93 0.0026819 0.00310783 0.00257187 -0.321443 -0.229576 0.128396 7704 7704 23112 -0.320847 -0.229151 0.128158 -0.00948688
94.5 0.00269905 0.00311925 0.00259245 -0.310779 -0.215243 0.122908 7704 7704 23112 -0.310184 -0.214831 0.122673 0.000778143
96 0.00271502 0.00312962 0.00261596 -0.299329 -0.200527 0.116168 7704 7704 23112 -0.298738 -0.200131 0.115939 0.00499863
97.5 0.00272948 0.00313846 0.0026424 -0.288906 -0.186077 0.10733 7704 7704 23112 -0.288318 -0.185698 0.107112 0.00221835
99 0.0027428 0.00314586 0.00267102 -0.278503 -0.172954 0.0974712 7704 7704 23112 -0.277918 -0.172591 0.0972667 -0.000934937
100.5 0.0027546 0.00315245 0.0027019 -0.265887 -0.160029 0.0856331 7704 7704 23112 -0.265312 -0.159683 0.0854479 -0.00438701
102 0.0027654 0.003158 0.00273444 -0.253466 -0.149936 0.0728718 7704 7704 23112 -0.252901 -0.149602 0.0727095 -0.00614445
103.5 0.00277529 0.00316283 0.00276888 -0.241409 -0.139147 0.0597086 7704 7704 23112 -0.240855 -0.138827 0.0595716 -0.0170606
105 0.00278414 0.00316704 0.00280446 -0.230417 -0.12691 0.0453642 7704 7704 23112 -0.229873 -0.126611 0.0452571 -0.0327263
106.5 0.00279202 0.0031697 0.00284101 -0.219506 -0.117872 0.0296226 7704 7704 23112 -0.218973 -0.117586 0.0295507 -0.0399612
108 0.00279894 0.00317164 0.00287862 -0.205898 -0.10966 0.0132278 7704 7704 23112 -0.205384 -0.109386 0.0131948 -0.0434942
109.5 0.00280497 0.00317273 0.00291656 -0.194439 -0.10201 -0.00296034 7704 7704 23112 -0.19394 -0.101748 -0.00295274 -0.0558202
111 0.0028103 0.00317339 0.00295482 -0.183683 -0.0947994 -0.01907 7704 7704 23112 -0.183199 -0.0945494 -0.0190197 -0.0664507
112.5 0.00281466 0.00317333 0.00299296 -0.172489 -0.0885472 -0.0352436 7704 7704 23112 -0.172022 -0.0883073 -0.0351481 -0.0702053
114 0.00281831 0.00317236 0.00303009 -0.162331 -0.0823479 -0.0513889 7704 7704 23112 -0.161879 -0.0821188 -0.0512459 -0.0815475
115.5 0.00282095 0.00317121 0.00306596 -0.150701 -0.0755579 -0.0661246 7704 7704 23112 -0.15027 -0.0753421 -0.0659358 -0.0971494
117 0.00282313 0.00316948 0.00310004 -0.140437 -0.0732529 -0.0799623 7704 7704 23112 -0.140026 -0.0730383 -0.079728 -0.106106
118.5 0.00282487 0.00316739 0.00313239 -0.130767 -0.071163 -0.0940633 7704 7704 23112 -0.130374 -0.0709491 -0.0937805 -0.118063
120 0.00282609 0.00316513 0.00316211 -0.121482 -0.066805 -0.106528 7704 7704 23112 -0.121107 -0.0665991 -0.1062 -0.129301
121.5 0.00282672 0.00316184 0.00318919 -0.112381 -0.0635437 -0.116355 7704 7704 23112 -0.112026 -0.0633429 -0.115988 -0.133199
123 0.00282687 0.00315807 0.00321385 -0.102048 -0.0603417 -0.124489 7704 7704 23112 -0.101718 -0.0601463 -0.124086 -0.136153
124.5 0.00282669 0.00315384 0.00323548 -0.093307 -0.0579169 -0.132496 7704 7704 23112 -0.0929974 -0.0577247 -0.132057 -0.146665
126 0.00282617 0.00314935 0.00325413 -0.0849149 -0.0557667 -0.138436 7704 7704 23112 -0.0846263 -0.0555772 -0.137966 -0.152872
127.5 0.00282513 0.00314446 0.00326981 -0.0760049 -0.0527435 -0.140295 7704 7704 23112 -0.0757404 -0.05256 -0.139807 -0.14494
129 0.00282377 0.00313877 0.0032821 -0.0685094 -0.0498606 -0.139154 7704 7704 23112 -0.0682654 -0.049683 -0.138659 -0.135428
130.5 0.0028218 0.00313324 0.00329116 -0.0612159 -0.0470761 -0.134473 7704 7704 23112 -0.0609927 -0.0469045 -0.133983 -0.127931
