Time[fs] MSD(Mn) MSD(O) MSD(Y) VAC(Mn) VAC(O) VAC(Y) Samples(Mn) Samples(O) Samples(Y) VAC_trunc(Mn) VAC_trunc(O) VAC_trunc(Y) Jt 
537 0.00464157 0.00482392 0.00520489 -0.000585 0.0222942 0.0104598 7704 7704 23112 -0.000549238 0.0209314 0.00982037 -0.0190268
538.5 0.00465213 0.00483402 0.00521512 -0.0018089 0.0219427 0.0109217 7704 7704 23112 -0.00169771 0.0205939 0.0102503 -0.040868
540 0.00466276 0.00484419 0.00522549 -0.00178423 0.0207513 0.0113541 7704 7704 23112 -0.00167395 0.0194687 0.0106523 -0.0420506
541.5 0.00467381 0.0048542 0.0052366 -0.000697764 0.0181789 0.0115086 7704 7704 23112 -0.000654399 0.0170491 0.0107934 -0.0449876
543 0.00468483 0.00486452 0.00524823 -0.000915383 0.017228 0.0114879 7704 7704 23112 -0.000858181 0.0161515 0.01077 -0.0579204
544.5 0.0046963 0.00487557 0.00525979 -0.000213731 0.0169808 0.0107044 7704 7704 23112 -0.000200302 0.0159139 0.0100318 -0.0628429
546 0.0047075 0.00488672 0.00527176 0.000340571 0.0173001 0.00903995 7704 7704 23112 0.000319056 0.0162072 0.00846885 -0.0675086
547.5 0.00471842 0.00489759 0.00528435 0.000358968 0.0160041 0.00867974 7704 7704 23112 0.000336167 0.0149875 0.00812841 -0.0698903
549 0.00472921 0.00490864 0.00529609 1.37642e-05 0.0143665 0.00734468 7704 7704 23112 1.28852e-05 0.013449 0.00687563 -0.0724232
550.5 0.00473986 0.00492019 0.00530797 -0.00116764 0.0131217 0.00558203 7704 7704 23112 -0.00109267 0.0122791 0.00522361 -0.0790531
552 0.00475016 0.00493159 0.00531996 -0.00199939 0.0105965 0.00375746 7704 7704 23112 -0.00187031 0.00991246 0.00351489 -0.0868353
553.5 0.00476062 0.00494272 0.00533237 -0.00260321 0.00885464 0.000668739 7704 7704 23112 -0.00243426 0.00827994 0.000625336 -0.0996247
555 0.00477112 0.00495388 0.00534455 -0.00247724 0.00641624 -0.00154644 7704 7704 23112 -0.0023156 0.00599757 -0.00144553 -0.104497
556.5 0.00478205 0.00496466 0.00535746 -0.0021413 0.00349322 -0.00384891 7704 7704 23112 -0.00200083 0.00326406 -0.00359642 -0.102036
558 0.00479294 0.00497567 0.00537037 -0.00293703 0.00124869 -0.00669703 7704 7704 23112 -0.00274333 0.00116633 -0.00625535 -0.105076
559.5 0.00480427 0.00498726 0.00538287 -0.00195097 -0.000595376 -0.00895765 7704 7704 23112 -0.00182161 -0.000555901 -0.00836374 -0.102363
561 0.00481538 0.00499888 0.00539514 -0.000852864 -0.000857147 -0.0113988 7704 7704 23112 -0.000796017 -0.000800014 -0.010639 -0.0965079
562.5 0.0048262 0.00501021 0.00540761 -0.00215909 -0.00269131 -0.0133883 7704 7704 23112 -0.00201442 -0.00251097 -0.0124912 -0.0963872
564 0.00483687 0.00502146 0.00541896 -0.00336901 -0.00459726 -0.0152391 7704 7704 23112 -0.00314207 -0.00428758 -0.0142125 -0.0934785
565.5 0.00484739 0.00503317 0.00542985 -0.00404161 -0.00505794 -0.0171017 7704 7704 23112 -0.00376793 -0.00471544 -0.0159436 -0.0883459
567 0.00485752 0.00504457 0.00544043 -0.00418174 -0.00618853 -0.0192729 7704 7704 23112 -0.00389708 -0.00576727 -0.0179609 -0.0704679
568.5 0.0048678 0.00505558 0.00545066 -0.00345196 -0.00656504 -0.0212394 7704 7704 23112 -0.00321575 -0.00611581 -0.0197861 -0.048957
570 0.00487816 0.00506658 0.00546011 -0.00292603 -0.00688902 -0.0228394 7704 7704 23112 -0.00272476 -0.00641515 -0.0212684 -0.0454566
571.5 0.00488895 0.00507708 0.00546977 -0.0041242 -0.00712268 -0.0239461 7704 7704 23112 -0.00383904 -0.0066302 -0.0222904 -0.0381617
573 0.00489963 0.00508769 0.00547891 -0.00632125 -0.00792358 -0.0239362 7704 7704 23112 -0.00588191 -0.00737287 -0.0222726 -0.0248934
574.5 0.00491067 0.00509876 0.00548733 -0.00671168 -0.00943839 -0.0230359 7704 7704 23112 -0.00624278 -0.008779 -0.0214266 -0.0150252
576 0.00492159 0.00510973 0.00549548 -0.00678946 -0.0102211 -0.0216256 7704 7704 23112 -0.00631268 -0.00950336 -0.020107 -0.0022641
577.5 0.00493214 0.00512045 0.00550355 -0.007993 -0.011522 -0.0209669 7704 7704 23112 -0.00742881 -0.0107087 -0.0194869 -0.000672356
579 0.00494251 0.00513091 0.00551037 -0.00859621 -0.012267 -0.0195826 7704 7704 23112 -0.00798633 -0.0113966 -0.0181932 0.00118744
580.5 0.0049527 0.00514188 0.00551666 -0.00880149 -0.0115218 -0.0175607 7704 7704 23112 -0.00817384 -0.0107002 -0.0163084 0.010957
582 0.00496251 0.00515251 0.00552263 -0.00817498 -0.0112837 -0.0156739 7704 7704 23112 -0.00758903 -0.0104749 -0.0145505 0.0234275
583.5 0.00497247 0.00516276 0.00552821 -0.0070246 -0.010432 -0.0133833 7704 7704 23112 -0.00651853 -0.00968046 -0.0124192 0.0392779
585 0.00498259 0.005173 0.0055331 -0.0063898 -0.00963968 -0.0108226 7704 7704 23112 -0.00592713 -0.00894169 -0.0100389 0.0506426
586.5 0.00499313 0.0051828 0.00553826 -0.0067456 -0.00795931 -0.00727965 7704 7704 23112 -0.00625469 -0.00738007 -0.00674987 0.0607598
588 0.0050035 0.00519279 0.00554331 -0.00874164 -0.00776885 -0.00372505 7704 7704 23112 -0.00810224 -0.00720061 -0.00345258 0.066769
589.5 0.00501413 0.0052032 0.00554798 -0.0099743 -0.00924331 -0.000226215 7704 7704 23112 -0.00924107 -0.00856381 -0.000209586 0.0652015
591 0.00502465 0.00521342 0.00555309 -0.0102596 -0.0102172 0.00347187 7704 7704 23112 -0.00950164 -0.00946237 0.00321536 0.0650511
592.5 0.00503475 0.00522342 0.00555861 -0.0111263 -0.0112447 0.00590818 7704 7704 23112 -0.0103001 -0.0104097 0.00546948 0.0754058
594 0.00504461 0.00523308 0.00556312 -0.0101769 -0.0114043 0.00808186 7704 7704 23112 -0.00941741 -0.0105533 0.00747875 0.081431
595.5 0.00505428 0.00524336 0.00556778 -0.00907665 -0.0109765 0.0107845 7704 7704 23112 -0.00839593 -0.0101533 0.00997567 0.0825611
597 0.00506357 0.00525328 0.00557263 -0.00920557 -0.00997186 0.0133571 7704 7704 23112 -0.00851174 -0.00922027 0.0123504 0.0755783
598.5 0.00507302 0.00526297 0.00557771 -0.00944554 -0.00960484 0.0157284 7704 7704 23112 -0.00873008 -0.00887732 0.0145371 0.0636929
600 0.00508265 0.00527263 0.00558268 -0.00913026 -0.010159 0.0178212 7704 7704 23112 -0.00843526 -0.00938572 0.0164646 0.067698
601.5 0.00509271 0.00528188 0.00558855 -0.00815213 -0.00775862 0.0201886 7704 7704 23112 -0.00752852 -0.00716511 0.0186442 0.0705278
603 0.00510261 0.00529153 0.00559523 -0.00899188 -0.00734359 0.0224811 7704 7704 23112 -0.00830064 -0.00677906 0.0207529 0.0615535
604.5 0.00511269 0.00530142 0.00560213 -0.0109489 -0.0099573 0.0233818 7704 7704 23112 -0.0101031 -0.00918808 0.0215756 0.0484917
606 0.00512268 0.00531108 0.00561008 -0.0117686 -0.0108494 0.0236173 7704 7704 23112 -0.010855 -0.0100072 0.0217838 0.0386966
607.5 0.00513221 0.00532046 0.00561901 -0.0123643 -0.010401 0.0239056 7704 7704 23112 -0.0113997 -0.00958963 0.0220407 0.0444853
609 0.00514148 0.00532948 0.00562726 -0.0110716 -0.0101648 0.0230052 7704 7704 23112 -0.0102037 -0.00936799 0.0212018 0.0418332
610.5 0.00515065 0.00533909 0.00563589 -0.00878844 -0.010052 0.0221919 7704 7704 23112 -0.00809616 -0.00926015 0.0204438 0.0319542
612 0.00515948 0.0053484 0.00564517 -0.00791778 -0.00798877 0.021904 7704 7704 23112 -0.00729105 -0.00735642 0.0201702 0.0189685
613.5 0.00516847 0.00535759 0.00565501 -0.0085531 -0.00648684 0.0212977 7704 7704 23112 -0.00787281 -0.00597089 0.0196037 0.00309719
615 0.00517765 0.00536675 0.00566505 -0.00957933 -0.0056419 0.0199843 7704 7704 23112 -0.00881373 -0.00519099 0.0183871 -0.00371277
616.5 0.00518727 0.00537556 0.00567611 -0.00881373 -0.00285188 0.0183387 7704 7704 23112 -0.00810593 -0.00262285 0.016866 -0.0145976
618 0.00519682 0.005385 0.00568816 -0.00974926 -0.00154726 0.0163494 7704 7704 23112 -0.00896257 -0.00142241 0.0150301 -0.0274855
619.5 0.00520645 0.00539452 0.00570042 -0.0114179 -0.00298789 0.0139019 7704 7704 23112 -0.0104921 -0.00274563 0.0127748 -0.0360361
621 0.00521601 0.00540371 0.00571352 -0.0105283 -0.0034773 0.011284 7704 7704 23112 -0.00967055 -0.00319402 0.0103647 -0.0346591
622.5 0.00522511 0.00541258 0.00572725 -0.0107093 -0.00139776 0.00836077 7704 7704 23112 -0.00983273 -0.00128334 0.00767639 -0.0417264
624 0.00523393 0.00542123 0.00573997 -0.0100793 0.00053241 0.00551734 7704 7704 23112 -0.00925036 0.000488622 0.00506356 -0.0508078
625.5 0.00524274 0.00543042 0.00575244 -0.00823321 0.00154443 0.00174824 7704 7704 23112 -0.00755285 0.0014168 0.00160377 -0.0536665
627 0.00525132 0.00543943 0.00576513 -0.00722241 0.00361287 -0.00104633 7704 7704 23112 -0.00662276 0.00331291 -0.000959452 -0.0581962
628.5 0.00526005 0.00544846 0.00577807 -0.00787575 0.0056213 -0.00259284 7704 7704 23112 -0.00721877 0.00515237 -0.00237655 -0.0577198
630 0.00526888 0.00545756 0.00579103 -0.00998446 0.00761706 -0.00405103 7704 7704 23112 -0.00914765 0.00697866 -0.00371151 -0.0637934
631.5 0.00527808 0.00546639 0.00580452 -0.0107683 0.00941364 -0.00536884 7704 7704 23112 -0.0098615 0.00862096 -0.00491675 -0.0673624
633 0.00528723 0.00547599 0.00581856 -0.0120332 0.0120077 -0.00724618 7704 7704 23112 -0.0110152 0.0109918 -0.00663315 -0.0620238
634.5 0.00529634 0.00548583 0.00583212 -0.0135577 0.0131524 -0.00895454 7704 7704 23112 -0.0124053 0.0120345 -0.00819344 -0.056119
636 0.00530541 0.00549523 0.00584599 -0.0131814 0.0124878 -0.0104716 7704 7704 23112 -0.0120558 0.0114214 -0.00957737 -0.0495784
637.5 0.005314 0.00550434 0.00585973 -0.0130119 0.0139345 -0.0112638 7704 7704 23112 -0.0118956 0.012739 -0.0102974 -0.056713
639 0.00532229 0.0055134 0.00587208 -0.0123694 0.0143808 -0.0106587 7704 7704 23112 -0.0113033 0.0131413 -0.00974007 -0.0594616
640.5 0.00533064 0.00552298 0.00588368 -0.0121772 0.0138615 -0.0119072 7704 7704 23112 -0.0111228 0.0126612 -0.0108762 -0.0521465
642 0.00533878 0.00553248 0.0058946 -0.011846 0.0148185 -0.0130181 7704 7704 23112 -0.0108156 0.0135295 -0.0118857 -0.0395941
643.5 0.00534708 0.00554209 0.00590554 -0.0117033 0.0148987 -0.0127687 7704 7704 23112 -0.0106806 0.0135967 -0.0116529 -0.0271969
645 0.00535545 0.00555184 0.00591622 -0.0115798 0.0147845 -0.0121241 7704 7704 23112 -0.0105632 0.0134866 -0.0110597 -0.0222687
646.5 0.00536413 0.00556141 0.00592735 -0.0112498 0.0152159 -0.0111462 7704 7704 23112 -0.0102577 0.0138739 -0.0101632 -0.0114098
648 0.00537278 0.00557187 0.0059388 -0.0120565 0.0162401 -0.0105654 7704 7704 23112 -0.0109883 0.0148013 -0.00962934 0.00729969
649.5 0.0053813 0.00558271 0.00594954 -0.0126057 0.0158921 -0.00972642 7704 7704 23112 -0.0114838 0.0144777 -0.00886076 0.0216251
651 0.00538975 0.00559306 0.00596047 -0.0118672 0.0137564 -0.00869391 7704 7704 23112 -0.0108062 0.0125265 -0.00791662 0.0224111
652.5 0.00539776 0.00560303 0.00597127 -0.0110014 0.0115277 -0.00742814 7704 7704 23112 -0.0100134 0.0104924 -0.006761 0.0281763
654 0.00540549 0.00561297 0.00598084 -0.0109665 0.00779977 -0.0061758 7704 7704 23112 -0.00997707 0.00709608 -0.00561862 0.0378225
655.5 0.00541326 0.00562329 0.00598994 -0.0117207 0.004691 -0.00545789 7704 7704 23112 -0.0106585 0.00426587 -0.00496325 0.0387225
657 0.0054208 0.00563348 0.00599811 -0.0109168 0.00331197 -0.0054013 7704 7704 23112 -0.00992296 0.00301046 -0.00490959 0.0427795
658.5 0.00542855 0.00564378 0.00600644 -0.00988477 0.000836821 -0.00557911 7704 7704 23112 -0.00898085 0.000760297 -0.00506892 0.0505063
660 0.00543632 0.00565414 0.00601452 -0.00915309 -0.000971838 -0.00559189 7704 7704 23112 -0.00831231 -0.000882568 -0.00507823 0.0565581
661.5 0.00544445 0.00566428 0.00602334 -0.00907476 -0.00216569 -0.00611908 7704 7704 23112 -0.00823745 -0.00196587 -0.00555449 0.0625937
663 0.00545247 0.00567524 0.00603246 -0.00947533 -0.00352051 -0.00564269 7704 7704 23112 -0.00859715 -0.00319422 -0.00511972 0.070344
664.5 0.00546035 0.0056865 0.00604128 -0.00899978 -0.00384025 -0.00529261 7704 7704 23112 -0.00816195 -0.00348274 -0.0047999 0.0683134
666 0.00546815 0.00569724 0.00605026 -0.0088122 -0.00536342 -0.00519083 7704 7704 23112 -0.00798819 -0.0048619 -0.00470544 0.0544345
667.5 0.00547554 0.00570743 0.00605954 -0.00864621 -0.00849432 -0.00427304 7704 7704 23112 -0.00783414 -0.00769651 -0.0038717 0.0549811
669 0.00548266 0.00571742 0.00606776 -0.00913567 -0.0121006 -0.00401598 7704 7704 23112 -0.00827382 -0.010959 -0.00363712 0.0569864
670.5 0.00548979 0.00572751 0.00607575 -0.0108088 -0.013984 -0.00302671 7704 7704 23112 -0.00978457 -0.0126589 -0.00273991 0.0513532
672 0.00549666 0.00573737 0.00608298 -0.0108205 -0.0155003 -0.00254617 7704 7704 23112 -0.00979066 -0.0140251 -0.00230385 0.0451974
673.5 0.00550383 0.00574721 0.00609034 -0.00994427 -0.0173934 -0.00240717 7704 7704 23112 -0.00899368 -0.0157308 -0.00217707 0.0463764
675 0.00551102 0.00575696 0.00609743 -0.0090263 -0.0178094 -0.00252547 7704 7704 23112 -0.00815968 -0.0160995 -0.00228299 0.0465875
676.5 0.00551865 0.0057665 0.00610518 -0.0084303 -0.0176612 -0.00326603 7704 7704 23112 -0.00761736 -0.0159581 -0.00295109 0.0350521
678 0.00552612 0.0057768 0.00611307 -0.00843969 -0.0170474 -0.00299827 7704 7704 23112 -0.00762229 -0.0153964 -0.00270788 0.0243594
679.5 0.00553351 0.00578744 0.00612094 -0.0081596 -0.0157166 -0.00304527 7704 7704 23112 -0.00736589 -0.0141878 -0.00274904 0.0149684
681 0.00554082 0.00579755 0.00612866 -0.00767911 -0.0158223 -0.00311052 7704 7704 23112 -0.00692888 -0.0142765 -0.00280664 0.0119021
682.5 0.00554778 0.00580699 0.00613685 -0.00649948 -0.0179299 -0.00271026 7704 7704 23112 -0.00586175 -0.0161706 -0.00244433 0.0149033
684 0.00555446 0.00581598 0.00614401 -0.0064052 -0.0198959 -0.00273929 7704 7704 23112 -0.005774 -0.0179353 -0.00246934 0.00998919
685.5 0.0055611 0.0058249 0.00615106 -0.00765563 -0.0204355 -0.00151016 7704 7704 23112 -0.00689795 -0.018413 -0.0013607 0.0069477
687 0.00556742 0.00583352 0.00615767 -0.00768442 -0.0216479 -0.000466386 7704 7704 23112 -0.00692061 -0.0194961 -0.000420029 0.00275847
688.5 0.00557414 0.005842 0.00616449 -0.00674634 -0.0210416 3.61353e-05 7704 7704 23112 -0.0060729 -0.0189411 3.25281e-05 -0.00942407
690 0.00558092 0.00585039 0.0061712 -0.00613257 -0.0200829 0.00112346 7704 7704 23112 -0.00551777 -0.0180696 0.00101083 -0.0125299
691.5 0.00558822 0.00585858 0.00617865 -0.00544879 -0.0196875 0.00207788 7704 7704 23112 -0.0049002 -0.0177053 0.00186868 -0.0198708
693 0.00559535 0.00586763 0.00618625 -0.00517129 -0.0179065 0.00255859 7704 7704 23112 -0.00464842 -0.016096 0.00229989 -0.0276468
694.5 0.00560245 0.00587705 0.00619395 -0.00532822 -0.0165827 0.00408268 7704 7704 23112 -0.00478718 -0.0148989 0.00366812 -0.0269981
696 0.00560948 0.005886 0.00620173 -0.00528943 -0.0169106 0.00549989 7704 7704 23112 -0.00475006 -0.0151861 0.00493905 -0.0269413
697.5 0.00561626 0.00589421 0.00621017 -0.00422846 -0.0187915 0.00610678 7704 7704 23112 -0.00379545 -0.0168672 0.00548142 -0.0273769
699 0.00562283 0.00590184 0.0062177 -0.00382908 -0.0192575 0.0062396 7704 7704 23112 -0.00343531 -0.0172771 0.00559793 -0.0288163
700.5 0.00562935 0.00590939 0.00622518 -0.00493239 -0.0201137 0.0064196 7704 7704 23112 -0.00442301 -0.0180365 0.00575663 -0.0339464
702 0.00563554 0.00591657 0.0062327 -0.00554696 -0.0214185 0.00725174 7704 7704 23112 -0.0049717 -0.0191972 0.00649969 -0.0418982
703.5 0.00564214 0.00592356 0.00624065 -0.0053007 -0.0201625 0.00797634 7704 7704 23112 -0.00474867 -0.0180627 0.00714566 -0.0489199
705 0.00564879 0.00593066 0.00624878 -0.00677577 -0.0189212 0.00854506 7704 7704 23112 -0.00606716 -0.0169424 0.00765143 -0.0478398
706.5 0.00565596 0.00593754 0.00625788 -0.00718795 -0.0192954 0.00863645 7704 7704 23112 -0.00643309 -0.017269 0.00772947 -0.0441763
708 0.005663 0.00594537 0.00626735 -0.00592993 -0.0185947 0.00791387 7704 7704 23112 -0.00530459 -0.0166338 0.00707931 -0.0446018
709.5 0.00567004 0.00595364 0.00627692 -0.00550724 -0.0175316 0.00726075 7704 7704 23112 -0.00492405 -0.0156751 0.00649187 -0.0431341
711 0.00567699 0.00596145 0.0062868 -0.00585009 -0.0172131 0.00588357 7704 7704 23112 -0.00522802 -0.0153827 0.00525794 -0.0368449
712.5 0.00568368 0.00596844 0.00629707 -0.005157 -0.0176927 0.00414493 7704 7704 23112 -0.00460636 -0.0158036 0.00370235 -0.0340514
714 0.0056902 0.0059748 0.00630642 -0.00420679 -0.0183899 0.00253531 7704 7704 23112 -0.00375574 -0.0164182 0.00226348 -0.0342267
715.5 0.00569663 0.00598103 0.00631536 -0.00578394 -0.0199357 0.000161594 7704 7704 23112 -0.00516124 -0.0177894 0.000144197 -0.0381661
717 0.00570264 0.00598678 0.00632423 -0.00751757 -0.0215001 -0.00192838 7704 7704 23112 -0.00670489 -0.0191759 -0.00171992 -0.035191
718.5 0.00570902 0.00599235 0.00633324 -0.00829938 -0.0211927 -0.00380103 7704 7704 23112 -0.0073985 -0.0188922 -0.00338843 -0.02432
720 0.00571539 0.00599812 0.00634231 -0.01009 -0.0204731 -0.00511883 7704 7704 23112 -0.00899024 -0.0182417 -0.00456091 -0.0181263
721.5 0.0057222 0.00600367 0.00635217 -0.0107515 -0.0202887 -0.0067614 7704 7704 23112 -0.00957487 -0.0180683 -0.00602144 -0.0127572
723 0.0057289 0.00601025 0.00636213 -0.00994166 -0.0189845 -0.00916952 7704 7704 23112 -0.0088492 -0.0168984 -0.00816191 -0.00999124
724.5 0.00573562 0.00601741 0.00637167 -0.0094695 -0.0171934 -0.0116073 7704 7704 23112 -0.00842469 -0.0152963 -0.0103266 -0.00921329
726 0.00574226 0.00602422 0.00638116 -0.00945991 -0.0145415 -0.0133081 7704 7704 23112 -0.00841191 -0.0129306 -0.0118338 -0.00589708
727.5 0.00574863 0.00603028 0.00639045 -0.00863972 -0.0120811 -0.0143995 7704 7704 23112 -0.0076787 -0.0107373 -0.0127978 -0.00454251
729 0.00575486 0.00603572 0.00639843 -0.00755107 -0.00995079 -0.0155505 7704 7704 23112 -0.00670775 -0.00883945 -0.0138137 -0.00413315
730.5 0.00576098 0.00604106 0.00640545 -0.00797058 -0.00840613 -0.0173714 7704 7704 23112 -0.00707681 -0.00746351 -0.0154235 0.00269465
732 0.00576653 0.00604586 0.00641174 -0.00906037 -0.00760417 -0.0187938 7704 7704 23112 -0.00804029 -0.00674804 -0.0166779 0.0133449
733.5 0.00577243 0.00605051 0.00641759 -0.00829978 -0.00589892 -0.0192788 7704 7704 23112 -0.00736157 -0.00523211 -0.0170995 0.0277582
735 0.00577832 0.00605547 0.00642322 -0.00777445 -0.0043909 -0.0191969 7704 7704 23112 -0.0068921 -0.00389256 -0.0170182 0.033461
736.5 0.00578458 0.00606024 0.00642939 -0.00816582 -0.00338267 -0.0187302 7704 7704 23112 -0.00723534 -0.00299722 -0.0165959 0.0341594
738 0.00579075 0.00606612 0.00643541 -0.00724231 -0.00164763 -0.0182686 7704 7704 23112 -0.00641377 -0.00145914 -0.0161786 0.0440782
739.5 0.00579697 0.00607274 0.00644066 -0.00700615 0.00071426 -0.0177194 7704 7704 23112 -0.00620142 0.00063222 -0.0156841 0.04962
741 0.00580312 0.00607913 0.00644571 -0.00620236 0.00534307 -0.0155701 7704 7704 23112 -0.00548712 0.00472692 -0.0137746 0.049668
742.5 0.00580906 0.00608513 0.00645076 -0.00487269 0.0103285 -0.0124078 7704 7704 23112 -0.00430855 0.00913271 -0.0109713 0.0572423
744 0.00581488 0.00609071 0.00645464 -0.00363258 0.0146681 -0.0101919 7704 7704 23112 -0.00321035 0.0129632 -0.00900726 0.0618951
745.5 0.00582068 0.00609642 0.00645759 -0.00181251 0.0174561 -0.00790041 7704 7704 23112 -0.001601 0.0154191 -0.00697848 0.0652098
747 0.00582589 0.00610165 0.00645991 -0.000710458 0.0179133 -0.00471699 7704 7704 23112 -0.000627224 0.0158147 -0.00416437 0.0715193
748.5 0.00583151 0.00610684 0.00646211 0.00175806 0.0191529 -0.00203873 7704 7704 23112 0.00155128 0.0169002 -0.00179894 0.0703869
750 0.0058372 0.00611238 0.00646437 0.00384416 0.0198295 0.000313349 7704 7704 23112 0.00339025 0.0174881 0.000276349 0.0678237
751.5 0.00584331 0.00611782 0.00646758 0.00336206 0.0195983 0.00307238 7704 7704 23112 0.00296352 0.0172751 0.00270817 0.0626526
753 0.00584931 0.00612438 0.00647113 0.00432436 0.0186576 0.00570711 7704 7704 23112 0.00380973 0.0164372 0.00502793 0.0597182
754.5 0.00585545 0.00613171 0.00647445 0.00595464 0.0179811 0.00841661 7704 7704 23112 0.00524324 0.0158329 0.00741107 0.057736
756 0.00586153 0.00613886 0.00647813 0.00778517 0.0208947 0.0115159 7704 7704 23112 0.00685144 0.0183886 0.0101348 0.0471872
757.5 0.00586754 0.00614602 0.00648273 0.0103823 0.023787 0.0149245 7704 7704 23112 0.00913222 0.020923 0.0131275 0.0432352
759 0.00587348 0.00615292 0.00648701 0.0111894 0.0271763 0.0172497 7704 7704 23112 0.00983693 0.0238915 0.0151647 0.0413556
760.5 0.00587944 0.0061603 0.00649092 0.0128161 0.0310005 0.0193607 7704 7704 23112 0.011261 0.0272389 0.0170115 0.0328052
762 0.00588492 0.00616724 0.00649506 0.0139303 0.0310479 0.021348 7704 7704 23112 0.0122335 0.027266 0.0187477 0.020988
763.5 0.00589086 0.00617418 0.00649979 0.015111 0.0303946 0.0217496 7704 7704 23112 0.0132632 0.026678 0.0190901 0.00695296
765 0.00589699 0.00618142 0.00650499 0.0169182 0.0301232 0.0208659 7704 7704 23112 0.0148415 0.0264256 0.0183046 0.00138252
766.5 0.00590361 0.00618855 0.00651141 0.017944 0.0290326 0.019923 7704 7704 23112 0.0157329 0.0254552 0.0174681 -0.00467495
768 0.00591016 0.0061967 0.00651854 0.0206796 0.0252726 0.0199285 7704 7704 23112 0.0181217 0.0221466 0.0174635 -0.0221103
769.5 0.00591699 0.00620541 0.00652588 0.0234848 0.0223581 0.0202357 7704 7704 23112 0.0205687 0.0195819 0.0177231 -0.0296695
771 0.00592387 0.00621392 0.0065339 0.0253687 0.0229572 0.0199738 7704 7704 23112 0.0222067 0.0200958 0.0174843 -0.0269182
772.5 0.00593079 0.00622263 0.00654319 0.0262822 0.0239641 0.0187918 7704 7704 23112 0.0229938 0.0209658 0.0164406 -0.0329661
774 0.00593771 0.0062311 0.00655239 0.0254922 0.0257134 0.0178685 7704 7704 23112 0.0222906 0.022484 0.0156244 -0.0423828
775.5 0.00594469 0.00624036 0.00656135 0.0275656 0.0275913 0.0166499 7704 7704 23112 0.0240905 0.0241129 0.0145509 -0.0509716
777 0.0059513 0.00624922 0.00657062 0.030418 0.0270687 0.0151765 7704 7704 23112 0.0265687 0.0236433 0.0132559 -0.0605763
778.5 0.0059584 0.00625802 0.00658039 0.0300158 0.0251274 0.0134386 7704 7704 23112 0.0262031 0.0219356 0.0117316 -0.0626248
780 0.00596572 0.006267 0.00659022 0.030342 0.0240249 0.0104538 7704 7704 23112 0.0264733 0.0209616 0.00912093 -0.0614524
781.5 0.00597358 0.00627584 0.00660064 0.0320328 0.0233757 0.00786728 7704 7704 23112 0.0279331 0.020384 0.0068604 -0.0620771
783 0.00598145 0.0062855 0.00661137 0.0337618 0.020837 0.00603136 7704 7704 23112 0.0294246 0.0181601 0.00525655 -0.0651896
784.5 0.00598969 0.00629546 0.00662196 0.0351728 0.0183349 0.00506354 7704 7704 23112 0.0306373 0.0159707 0.00441062 -0.0643567
786 0.00599806 0.0063051 0.00663308 0.0359495 0.0172746 0.00366076 7704 7704 23112 0.0312966 0.0150387 0.00318695 -0.0548658
787.5 0.00600648 0.00631499 0.00664495 0.0349679 0.0176538 0.000214944 7704 7704 23112 0.0304251 0.0153603 0.00018702 -0.0622409
789 0.00601486 0.00632469 0.00665596 0.0326088 0.0180532 -0.00187649 7704 7704 23112 0.0283567 0.0156991 -0.0016318 -0.0672756
790.5 0.0060232 0.0063353 0.00666654 0.0335795 0.0178142 -0.00306086 7704 7704 23112 0.0291846 0.0154826 -0.00266025 -0.0601453
792 0.00603131 0.00634552 0.00667688 0.0354881 0.0177937 -0.00405994 7704 7704 23112 0.0308261 0.0154562 -0.00352659 -0.058737
793.5 0.00603985 0.00635567 0.00668756 0.0331771 0.0166657 -0.00427973 7704 7704 23112 0.0288026 0.0144683 -0.00371543 -0.0529234
795 0.00604851 0.00636585 0.00669781 0.0310826 0.0153175 -0.00402293 7704 7704 23112 0.026969 0.0132903 -0.00349053 -0.0506767
796.5 0.00605775 0.0063759 0.00670836 0.0316825 0.0151132 -0.00363427 7704 7704 23112 0.0274741 0.0131057 -0.00315152 -0.0463882
798 0.00606703 0.00638673 0.00671889 0.0309225 0.0143685 -0.00414814 7704 7704 23112 0.0267999 0.0124528 -0.0035951 -0.0358626
799.5 0.00607669 0.00639773 0.00672907 0.0290596 0.0124116 -0.00403912 7704 7704 23112 0.0251711 0.0107508 -0.00349864 -0.0344586
801 0.0060865 0.00640831 0.00673971 0.0285968 0.0105468 -0.00413632 7704 7704 23112 0.0247562 0.00913038 -0.0035808 -0.0318209
802.5 0.00609634 0.00641908 0.0067507 0.0274925 0.010345 -0.00493398 7704 7704 23112 0.0237867 0.00895058 -0.00426891 -0.0229511
804 0.00610604 0.00642972 0.00676033 0.0248572 0.00931012 -0.00494117 7704 7704 23112 0.0214944 0.00805059 -0.00427269 -0.0146749
805.5 0.00611559 0.00644124 0.0067695 0.0240765 0.00699852 -0.00404539 7704 7704 23112 0.0208074 0.00604826 -0.0034961 -0.00860234
807 0.00612499 0.0064523 0.00677838 0.0239554 0.00563444 -0.00350219 7704 7704 23112 0.0206909 0.00486661 -0.00302493 -0.00633471
808.5 0.00613478 0.00646326 0.00678769 0.0221218 0.00415704 -0.00313483 7704 7704 23112 0.0190962 0.00358849 -0.00270608 -0.00592276
810 0.00614458 0.00647408 0.00679667 0.0207207 0.00290868 -0.00201103 7704 7704 23112 0.0178764 0.00250942 -0.00173499 -0.0036143
