Freq(meV) DoS(Mn) DoS(O) DoS(Y) DoS(Total) JDoS
128 1.00309 1.14374 1.2008 2.19604 1.28861
128.1 0.99883 1.14025 1.19598 2.18756 1.28236
128.2 0.996312 1.13666 1.19033 2.17875 1.28381
128.3 0.995426 1.13281 1.18366 2.1693 1.29041
128.4 0.995981 1.12856 1.17585 2.15895 1.29965
128.5 0.997716 1.12375 1.16689 2.1475 1.30929
128.6 1.00032 1.11825 1.15683 2.13487 1.31758
128.7 1.00347 1.11196 1.14585 2.12108 1.3234
128.8 1.00682 1.10488 1.1342 2.1063 1.32632
128.9 1.01006 1.09704 1.12222 2.09082 1.32657
129 1.01292 1.08858 1.11032 2.07504 1.32495
129.1 1.01515 1.0797 1.09893 2.05945 1.32266
129.2 1.01662 1.07069 1.08849 2.04461 1.32115
129.3 1.01723 1.06185 1.0794 2.03105 1.32186
129.4 1.01697 1.05353 1.07202 2.01932 1.32607
129.5 1.0159 1.04605 1.06661 2.00985 1.33472
129.6 1.01413 1.03971 1.06334 2.00301 1.34831
129.7 1.01186 1.03472 1.06227 1.99901 1.36683
129.8 1.00929 1.03122 1.06334 1.99792 1.38982
129.9 1.00666 1.02924 1.06639 1.99965 1.41641
130 1.00424 1.0287 1.07116 2.00398 1.44547
130.1 1.00226 1.02941 1.07733 2.01057 1.47575
130.2 1.00096 1.03109 1.08453 2.01896 1.50607
130.3 1.00054 1.03339 1.09235 2.02865 1.53546
130.4 1.00115 1.03595 1.10041 2.03909 1.56327
130.5 1.00291 1.03837 1.10833 2.04976 1.58928
130.6 1.00586 1.04032 1.11579 2.06018 1.61367
130.7 1.01002 1.04151 1.12252 2.06994 1.637
130.8 1.01533 1.04175 1.12832 2.07871 1.66008
130.9 1.02168 1.04098 1.13306 2.08627 1.68382
131 1.02892 1.03924 1.13668 2.09251 1.70909
131.1 1.03687 1.0367 1.13914 2.09741 1.73647
131.2 1.0453 1.03363 1.14051 2.10102 1.76616
131.3 1.05398 1.03037 1.14083 2.10346 1.79778
131.4 1.06264 1.02732 1.14023 2.10491 1.83039
131.5 1.07102 1.02486 1.1388 2.10554 1.86241
131.6 1.07889 1.02335 1.13667 2.10553 1.89178
131.7 1.08599 1.0231 1.13397 2.10504 1.91606
131.8 1.09213 1.02428 1.13081 2.10422 1.93263
131.9 1.09711 1.02696 1.12731 2.10314 1.93898
132 1.1008 1.03108 1.12361 2.10188 1.93291
132.1 1.10308 1.03643 1.11982 2.10045 1.91279
132.2 1.1039 1.04271 1.11607 2.09886 1.87778
132.3 1.10322 1.04952 1.11249 2.09711 1.82794
132.4 1.10107 1.0564 1.10923 2.09517 1.76428
132.5 1.09749 1.06288 1.10642 2.09306 1.68876
132.6 1.09256 1.06851 1.10421 2.0908 1.60416
132.7 1.08639 1.07293 1.10272 2.08842 1.5139
132.8 1.07909 1.07587 1.10207 2.08601 1.42178
132.9 1.07081 1.0772 1.10235 2.08368 1.33168
133 1.06167 1.07693 1.10362 2.08154 1.24732
133.1 1.05183 1.07523 1.10589 2.07974 1.17191
133.2 1.04143 1.0724 1.10915 2.07842 1.108
133.3 1.03061 1.06884 1.11333 2.07771 1.05726
133.4 1.01951 1.06505 1.11831 2.07773 1.02043
133.5 1.00829 1.06157 1.12393 2.07855 0.997313
133.6 0.9971 1.0589 1.13001 2.08023 0.986876
133.7 0.986105 1.05752 1.13634 2.08275 0.987383
133.8 0.975485 1.05779 1.1427 2.08609 0.996621
133.9 0.965434 1.05995 1.14886 2.09014 1.01213
134 0.956159 1.06409 1.15462 2.09477 1.03144
134.1 0.947876 1.07012 1.15978 2.09983 1.0523
134.2 0.940807 1.07782 1.16419 2.10512 1.07282
134.3 0.935163 1.0868 1.16772 2.11044 1.09163
134.4 0.931138 1.09657 1.17028 2.11557 1.10787
134.5 0.928892 1.10657 1.17182 2.12029 1.12121
134.6 0.928534 1.11619 1.17232 2.12441 1.13177
134.7 0.930109 1.12487 1.17179 2.12772 1.13997
134.8 0.933583 1.13208 1.17027 2.13005 1.14638
134.9 0.938835 1.1374 1.16779 2.13125 1.15158
135 0.945652 1.14055 1.16442 2.1312 1.15603
135.1 0.953727 1.1414 1.16022 2.12979 1.15994
135.2 0.962672 1.13998 1.15524 2.12696 1.16322
135.3 0.972029 1.13645 1.14954 2.12266 1.16553
135.4 0.981291 1.13114 1.14317 2.11687 1.16628
135.5 0.989927 1.12446 1.13619 2.10961 1.16476
135.6 0.997418 1.1169 1.12864 2.10093 1.1603
135.7 1.00328 1.10895 1.12057 2.0909 1.15238
135.8 1.00711 1.10112 1.11207 2.07962 1.14082
135.9 1.00858 1.09383 1.10321 2.06725 1.12586
136 1.00753 1.08743 1.09409 2.05395 1.10823
136.1 1.00391 1.08215 1.08483 2.03994 1.0892
136.2 0.997822 1.07808 1.07556 2.02544 1.07047
136.3 0.989528 1.0752 1.06645 2.01072 1.05408
136.4 0.979424 1.07334 1.05765 1.99608 1.04222
136.5 0.968027 1.07226 1.04935 1.9818 1.03707
136.6 0.95594 1.07163 1.04173 1.96821 1.04048
136.7 0.943822 1.07108 1.03497 1.95563 1.05387
136.8 0.932347 1.07026 1.02922 1.94434 1.07797
136.9 0.922164 1.06884 1.02463 1.93465 1.1127
137 0.913853 1.06657 1.02131 1.9268 1.15718
137.1 0.907894 1.06327 1.01934 1.92101 1.20965
137.2 0.904635 1.05892 1.01877 1.91745 1.2677
137.3 0.904268 1.05357 1.0196 1.91621 1.32833
137.4 0.906821 1.0474 1.02178 1.91734 1.38824
137.5 0.912155 1.04071 1.02524 1.92078 1.44412
137.6 0.91997 1.03385 1.02984 1.92642 1.49284
137.7 0.92983 1.02723 1.03543 1.93405 1.53179
137.8 0.941185 1.02124 1.0418 1.9434 1.55901
137.9 0.953408 1.01628 1.04872 1.95411 1.57339
138 0.965831 1.01268 1.05595 1.96577 1.57471
138.1 0.977786 1.01068 1.06324 1.97792 1.56362
138.2 0.988645 1.01041 1.07031 1.99007 1.54152
138.3 0.997854 1.01189 1.07691 2.00172 1.51046
138.4 1.00496 1.015 1.08282 2.01239 1.47282
138.5 1.00966 1.01953 1.08782 2.02164 1.43117
138.6 1.01176 1.02515 1.09174 2.02908 1.38796
138.7 1.01125 1.03147 1.09447 2.03443 1.34532
138.8 1.00824 1.03804 1.09595 2.03749 1.3049
138.9 1.00299 1.04442 1.09618 2.03819 1.26777
139 0.995871 1.05017 1.09523 2.03657 1.23435
139.1 0.98733 1.0549 1.09322 2.03282 1.20448
139.2 0.977882 1.05832 1.09036 2.02723 1.1775
139.3 0.968064 1.06019 1.08687 2.0202 1.15243
139.4 0.958403 1.06042 1.08305 2.01222 1.12809
139.5 0.949387 1.05901 1.07921 2.00383 1.10334
139.6 0.941437 1.05605 1.07566 1.9956 1.07722
139.7 0.934889 1.05175 1.07272 1.98809 1.0491
139.8 0.929978 1.04638 1.07067 1.98181 1.01874
139.9 0.92683 1.04024 1.06974 1.9772 0.986341
140 0.925467 1.03371 1.07012 1.97462 0.952491
140.1 0.92581 1.02711 1.0719 1.97427 0.918083
140.2 0.927699 1.02079 1.0751 1.97625 0.884187
140.3 0.930908 1.01503 1.07967 1.9805 0.851902
140.4 0.935167 1.01006 1.08544 1.98685 0.822204
140.5 0.940189 1.00605 1.09221 1.99499 0.795824
140.6 0.94569 1.00307 1.09969 2.00452 0.773149
140.7 0.951409 1.00114 1.10755 2.01498 0.754188
140.8 0.957125 1.00021 1.11543 2.02584 0.738585
140.9 0.962669 1.00016 1.12298 2.03659 0.7257
141 0.967926 1.00083 1.12985 2.04672 0.714724
141.1 0.972836 1.00202 1.13574 2.0558 0.704836
141.2 0.977389 1.00352 1.14038 2.06343 0.695374
141.3 0.981611 1.00511 1.14358 2.06932 0.685985
141.4 0.985553 1.00657 1.14524 2.07329 0.676755
141.5 0.989274 1.00772 1.14531 2.07522 0.668281
141.6 0.992827 1.00839 1.14382 2.07513 0.661683
141.7 0.996247 1.00846 1.14087 2.07308 0.658535
141.8 0.999538 1.00786 1.13663 2.06925 0.660736
141.9 1.00267 1.00655 1.1313 2.06384 0.67032
142 1.00559 1.00454 1.12511 2.0571 0.689218
142.1 1.00821 1.00189 1.11831 2.04929 0.719012
142.2 1.01042 0.998682 1.11114 2.0407 0.760687
142.3 1.01211 0.995057 1.10384 2.03159 0.814433
142.4 1.01318 0.991167 1.0966 2.02221 0.879497
142.5 1.01358 0.98719 1.08959 2.01282 0.95412
142.6 1.01326 0.983315 1.08295 2.00361 1.03557
142.7 1.01225 0.979733 1.07678 1.99478 1.12028
142.8 1.01063 0.97663 1.07114 1.98651 1.20403
142.9 1.00853 0.974173 1.06605 1.97895 1.28227
143 1.00615 0.972503 1.06153 1.97221 1.35043
143.1 1.00371 0.97173 1.05755 1.96643 1.40428
143.2 1.00146 0.97192 1.0541 1.96168 1.44028
143.3 0.999629 0.973094 1.05114 1.95804 1.45583
143.4 0.99846 0.975223 1.04864 1.95555 1.44954
143.5 0.998131 0.97823 1.04658 1.95421 1.42135
143.6 0.998765 0.981995 1.04493 1.95399 1.37251
143.7 1.00041 0.986356 1.04366 1.95484 1.30554
143.8 1.00303 0.991125 1.04278 1.95664 1.22404
143.9 1.00651 0.996095 1.04224 1.95926 1.13238
144 1.01065 1.00106 1.04205 1.96252 1.03545
144.1 1.01519 1.00581 1.04219 1.96623 0.938245
144.2 1.01983 1.01019 1.04262 1.97017 0.845562
144.3 1.02425 1.01406 1.04332 1.97413 0.761661
144.4 1.02812 1.01733 1.04426 1.97793 0.690022
144.5 1.03114 1.01999 1.04538 1.98139 0.633163
144.6 1.03309 1.02207 1.04665 1.98439 0.592557
144.7 1.03377 1.02367 1.04802 1.98683 0.568632
144.8 1.03309 1.02493 1.04945 1.98868 0.560853
144.9 1.03105 1.02604 1.05089 1.98998 0.567881
145 1.02771 1.02723 1.05231 1.99079 0.587766
145.1 1.02322 1.02871 1.05368 1.99121 0.61818
145.2 1.01779 1.03068 1.05499 1.99138 0.656631
145.3 1.01166 1.03332 1.05622 1.99146 0.700672
145.4 1.0051 1.03676 1.05737 1.99159 0.748057
145.5 0.998375 1.04103 1.05845 1.99189 0.796849
145.6 0.991748 1.04611 1.05945 1.99245 0.845469
145.7 0.985432 1.05189 1.0604 1.99333 0.892695
145.8 0.979605 1.05814 1.0613 1.99452 0.937608
145.9 0.974392 1.0646 1.06216 1.99598 0.979517
146 0.969873 1.07092 1.06298 1.99761 1.01785
146.1 0.966078 1.0767 1.06376 1.99926 1.05209
146.2 0.963002 1.08155 1.06449 2.00078 1.08165
146.3 0.960608 1.08506 1.06517 2.00198 1.10588
146.4 0.958844 1.08687 1.06579 2.00271 1.12405
146.5 0.957647 1.08671 1.06633 2.0028 1.13537
146.6 0.956953 1.08435 1.06676 2.00214 1.13909
146.7 0.956704 1.07973 1.06709 2.00065 1.13458
146.8 0.956846 1.07286 1.06728 1.99831 1.12145
146.9 0.957332 1.06393 1.06732 1.99512 1.09968
147 0.958116 1.0532 1.06718 1.99117 1.06966
147.1 0.959149 1.04108 1.06685 1.98655 1.03229
147.2 0.960374 1.02805 1.0663 1.98141 0.988964
147.3 0.96172 1.01467 1.06549 1.97589 0.941519
147.4 0.9631 1.00151 1.0644 1.97014 0.892161
147.5 0.964411 0.989142 1.063 1.96431 0.843313
147.6 0.965537 0.978089 1.06124 1.95851 0.797445
147.7 0.966354 0.968806 1.0591 1.95282 0.756891
147.8 0.96674 0.961638 1.05656 1.94731 0.723671
147.9 0.966586 0.956801 1.05358 1.942 0.699327
148 0.965806 0.954374 1.05018 1.93687 0.684814
148.1 0.964352 0.954286 1.04637 1.93192 0.680432
148.2 0.962216 0.956328 1.04218 1.92708 0.685827
148.3 0.959444 0.960167 1.03768 1.92233 0.70005
148.4 0.956131 0.965369 1.03295 1.91763 0.721677
148.5 0.952422 0.971434 1.0281 1.91297 0.74897
148.6 0.948502 0.977823 1.02326 1.90837 0.780064
148.7 0.944583 0.984007 1.01858 1.90387 0.813169
148.8 0.940891 0.989497 1.0142 1.89954 0.846747
148.9 0.937646 0.993878 1.01027 1.89548 0.879663
149 0.935047 0.996843 1.00693 1.89179 0.911285
149.1 0.933252 0.998205 1.0043 1.8886 0.941518
149.2 0.932368 0.997917 1.00244 1.88603 0.970774
149.3 0.932439 0.996066 1.00141 1.88417 0.999879
149.4 0.933445 0.992868 1.00121 1.8831 1.02993
149.5 0.935301 0.988651 1.00178 1.88286 1.06211
149.6 0.937864 0.983826 1.00304 1.88343 1.09747
149.7 0.94095 0.978856 1.00485 1.88478 1.13676
149.8 0.944342 0.974226 1.00704 1.88682 1.18025
149.9 0.947816 0.9704 1.00942 1.88941 1.22757
150 0.95115 0.967794 1.01179 1.89241 1.27772
150.1 0.954152 0.966741 1.01396 1.89564 1.32901
150.2 0.956664 0.96747 1.01576 1.89894 1.37919
150.3 0.958581 0.970091 1.01703 1.90213 1.42558
150.4 0.959852 0.974587 1.01768 1.90507 1.46531
150.5 0.960482 0.980814 1.01765 1.90766 1.49549
150.6 0.960528 0.988514 1.01694 1.90981 1.51357
150.7 0.960093 0.997333 1.01563 1.91151 1.5175
150.8 0.959313 1.00684 1.01381 1.91275 1.506
150.9 0.958342 1.01656 1.01163 1.9136 1.47868
151 0.957344 1.02599 1.00929 1.91413 1.43615
151.1 0.956473 1.03465 1.00697 1.91446 1.38003
151.2 0.955868 1.04209 1.00489 1.91468 1.31287
151.3 0.955643 1.04793 1.00323 1.91492 1.238
151.4 0.95588 1.05185 1.00214 1.91526 1.15929
151.5 0.956627 1.05365 1.00174 1.91578 1.08095
151.6 0.957902 1.05319 1.00209 1.9165 1.00716
151.7 0.959692 1.05047 1.00321 1.91742 0.941862
151.8 0.96196 1.04556 1.00502 1.91849 0.888434
151.9 0.96465 1.03864 1.00743 1.91962 0.849502
152 0.967691 1.02993 1.01026 1.92071 0.826768
152.1 0.971001 1.01974 1.01333 1.9216 0.820921
152.2 0.974492 1.00843 1.01642 1.92215 0.831626
152.3 0.978067 0.996362 1.01929 1.9222 0.857584
152.4 0.981626 0.98394 1.02173 1.92161 0.896662
152.5 0.985061 0.971549 1.02355 1.92027 0.946071
152.6 0.988254 0.959566 1.02459 1.91811 1.00259
152.7 0.991082 0.948337 1.02476 1.91509 1.06279
152.8 0.993411 0.938169 1.02402 1.91125 1.12328
152.9 0.995104 0.929323 1.02238 1.90664 1.18092
153 0.99602 0.922 1.01993 1.90138 1.23297
153.1 0.996025 0.916341 1.0168 1.89563 1.27728
153.2 0.995 0.912419 1.01316 1.88958 1.31232
153.3 0.99285 0.910239 1.00923 1.88342 1.33721
153.4 0.989514 0.909736 1.00523 1.87737 1.35175
153.5 0.984978 0.910781 1.00136 1.87161 1.35629
153.6 0.979284 0.913185 0.997841 1.86631 1.35168
153.7 0.972531 0.916708 0.994823 1.86162 1.33912
153.8 0.964883 0.921068 0.992429 1.85762 1.32007
153.9 0.956564 0.925962 0.990727 1.85436 1.2961
154 0.947851 0.931076 0.989725 1.85184 1.26878
154.1 0.939061 0.936102 0.989376 1.85 1.23962
154.2 0.930534 0.940761 0.989583 1.84876 1.20998
154.3 0.922618 0.944814 0.990206 1.848 1.18105
154.4 0.915638 0.948075 0.991077 1.84758 1.15382
154.5 0.909882 0.95043 0.992014 1.84735 1.12911
154.6 0.905576 0.951832 0.992837 1.84719 1.10756
154.7 0.902867 0.952311 0.99338 1.84696 1.08971
154.8 0.901808 0.951968 0.993508 1.84657 1.07598
154.9 0.902354 0.950961 0.993124 1.84595 1.06672
155 0.90436 0.949499 0.992177 1.84507 1.06222
155.1 0.907589 0.947818 0.990663 1.84393 1.06274
155.2 0.911726 0.946163 0.988627 1.84254 1.06846
155.3 0.916397 0.944769 0.986152 1.84096 1.0795
155.4 0.921198 0.943842 0.983351 1.83923 1.09584
155.5 0.925718 0.943535 0.980357 1.83741 1.11735
155.6 0.929575 0.943944 0.977313 1.83555 1.1437
155.7 0.932439 0.945093 0.974351 1.83369 1.17435
155.8 0.934061 0.946936 0.971591 1.83185 1.20854
155.9 0.934289 0.949357 0.969125 1.83003 1.24526
156 0.933086 0.952183 0.967015 1.82824 1.28329
156.1 0.930529 0.955195 0.965291 1.82644 1.32124
156.2 0.926811 0.958149 0.963954 1.82461 1.35757
156.3 0.922223 0.960794 0.962979 1.82275 1.39068
156.4 0.917141 0.962891 0.962325 1.82086 1.419
156.5 0.911993 0.964235 0.961944 1.81897 1.44107
156.6 0.907231 0.96467 0.961789 1.81714 1.45564
156.7 0.903301 0.964098 0.961828 1.81547 1.46175
156.8 0.900605 0.962491 0.962046 1.81407 1.45883
156.9 0.899473 0.959891 0.96245 1.81311 1.44673
157 0.900138 0.956403 0.963071 1.81274 1.42576
157.1 0.902717 0.952192 0.963958 1.81314 1.39672
157.2 0.907198 0.947466 0.965172 1.81443 1.36086
157.3 0.913441 0.942466 0.966777 1.81675 1.31982
157.4 0.921183 0.937445 0.968828 1.82014 1.27558
157.5 0.930056 0.932656 0.971358 1.8246 1.23031
157.6 0.939605 0.928334 0.974369 1.83005 1.18631
157.7 0.949323 0.924685 0.977824 1.83632 1.14581
157.8 0.958677 0.921877 0.981643 1.8432 1.11091
157.9 0.967147 0.920031 0.985702 1.85038 1.08336
158 0.974251 0.919219 0.989841 1.85753 1.06456
158.1 0.97958 0.919464 0.993874 1.86428 1.05535
158.2 0.982817 0.920746 0.997604 1.87028 1.05605
158.3 0.983757 0.923 1.00084 1.8752 1.06639
158.4 0.982313 0.926126 1.0034 1.87879 1.08552
158.5 0.978519 0.929996 1.00518 1.88085 1.11208
158.6 0.972522 0.93446 1.00609 1.88131 1.14427
158.7 0.96457 0.939352 1.00614 1.88019 1.17998
158.8 0.954995 0.944495 1.00538 1.87764 1.21691
158.9 0.944187 0.949709 1.00397 1.87388 1.25273
159 0.932575 0.954815 1.00209 1.86924 1.28525
159.1 0.920602 0.959642 0.999991 1.86411 1.31252
159.2 0.908703 0.964025 0.997936 1.85888 1.333
159.3 0.897286 0.967821 0.996193 1.85397 1.34564
159.4 0.886719 0.970902 0.995001 1.84975 1.34995
159.5 0.877319 0.973171 0.994553 1.84651 1.34599
159.6 0.869344 0.974558 0.994969 1.84447 1.33441
159.7 0.862996 0.97503 0.996285 1.84373 1.31634
159.8 0.858418 0.974593 0.998445 1.84429 1.29332
159.9 0.855701 0.973293 1.0013 1.84603 1.26717
160 0.854884 0.971214 1.00462 1.84873 1.23984
160.1 0.855962 0.968478 1.00811 1.8521 1.21327
160.2 0.858891 0.965239 1.01144 1.8558 1.18923
160.3 0.863588 0.961674 1.01426 1.85946 1.1692
160.4 0.869932 0.957974 1.01624 1.86273 1.15426
160.5 0.877768 0.954334 1.01709 1.86532 1.145
160.6 0.886902 0.95094 1.01661 1.86696 1.14148
160.7 0.897103 0.947956 1.01468 1.8675 1.14326
160.8 0.908103 0.945518 1.01127 1.86686 1.14943
160.9 0.919602 0.943723 1.00647 1.86507 1.15868
161 0.931267 0.942626 1.00047 1.86223 1.16942
161.1 0.942748 0.942235 0.993524 1.85851 1.17991
161.2 0.953682 0.94252 0.985966 1.85413 1.18843
161.3 0.963713 0.943414 0.978149 1.84934 1.19335
161.4 0.972505 0.944822 0.970434 1.8444 1.19335
161.5 0.979759 0.946633 0.963158 1.83953 1.18745
161.6 0.985233 0.948732 0.956607 1.83491 1.17515
161.7 0.988753 0.951008 0.950999 1.8307 1.15641
161.8 0.990229 0.953365 0.94647 1.82697 1.13173
161.9 0.989658 0.955728 0.943074 1.82377 1.10204
162 0.987129 0.958046 0.940784 1.82106 1.06869
162.1 0.982816 0.960291 0.939506 1.81881 1.03333
162.2 0.976968 0.962453 0.939095 1.81693 0.997782
162.3 0.969895 0.964534 0.93938 1.81535 0.963911
162.4 0.961947 0.966533 0.940183 1.814 0.933501
162.5 0.953492 0.968442 0.941341 1.81282 0.908114
162.6 0.944893 0.970231 0.942725 1.81181 0.888984
162.7 0.936485 0.97184 0.944249 1.81096 0.876923
162.8 0.92856 0.973179 0.945878 1.81031 0.872271
162.9 0.921348 0.974121 0.947623 1.80991 0.874863
163 0.915016 0.974513 0.949537 1.80984 0.884052
163.1 0.909659 0.974181 0.951694 1.81013 0.898746
163.2 0.905308 0.972951 0.954178 1.81085 0.917492
163.3 0.901941 0.970659 0.957063 1.81199 0.938578
163.4 0.899492 0.967178 0.96039 1.81354 0.960154
163.5 0.897875 0.962435 0.964158 1.81543 0.980362
163.6 0.896993 0.956428 0.968314 1.81756 0.997469
163.7 0.896759 0.94924 0.972749 1.81981 1.00999
163.8 0.897108 0.941048 0.977302 1.82203 1.0168
163.9 0.898 0.932123 0.981771 1.82408 1.0172
164 0.89943 0.922821 0.985932 1.82584 1.01099
164.1 0.901418 0.913567 0.989555 1.82722 0.998457
164.2 0.904006 0.904838 0.992432 1.82817 0.980393
164.3 0.907245 0.897125 0.994392 1.82871 0.958009
164.4 0.911175 0.890909 0.995323 1.8289 0.932868
164.5 0.915818 0.886624 0.995184 1.82888 0.906764
164.6 0.921157 0.884624 0.994008 1.82881 0.881597
164.7 0.927128 0.885159 0.991907 1.82888 0.859228
164.8 0.933614 0.888348 0.989054 1.82931 0.841339
164.9 0.940441 0.89417 0.985674 1.83027 0.829304
165 0.947386 0.902458 0.982017 1.8319 0.824075
165.1 0.95419 0.912908 0.978338 1.83427 0.826103
165.2 0.960568 0.925093 0.974868 1.83739 0.835285
165.3 0.966236 0.938488 0.971796 1.84115 0.850963
165.4 0.970929 0.952502 0.969245 1.84537 0.871953
165.5 0.97442 0.966515 0.967266 1.84979 0.896622
165.6 0.976546 0.979914 0.965829 1.85407 0.922998
165.7 0.977214 0.992131 0.964831 1.85785 0.948909
165.8 0.976415 1.00267 0.964105 1.86074 0.972144
165.9 0.974224 1.01115 0.963441 1.86238 0.990613
166 0.970794 1.01731 0.962609 1.86247 1.00251
166.1 0.966344 1.021 0.961385 1.86078 1.00648
166.2 0.961142 1.02223 0.959574 1.85718 1.00167
166.3 0.955485 1.02111 0.957035 1.85169 0.987882
166.4 0.949671 1.01788 0.953699 1.84441 0.965555
166.5 0.943979 1.01285 0.949577 1.83559 0.935757
166.6 0.938649 1.00639 0.944764 1.82557 0.900117
166.7 0.933863 0.998914 0.939433 1.81478 0.860708
166.8 0.929733 0.990813 0.933821 1.80367 0.8199
166.9 0.926302 0.982476 0.92821 1.79275 0.780177
167 0.923537 0.974239 0.922905 1.78247 0.743951
167.1 0.921347 0.966381 0.918204 1.77324 0.713373
167.2 0.919589 0.95911 0.914379 1.76541 0.690162
167.3 0.91809 0.952562 0.911648 1.75921 0.675466
167.4 0.916662 0.946801 0.910165 1.75476 0.669768
167.5 0.915127 0.941829 0.910006 1.7521 0.672841
167.6 0.913331 0.937595 0.911165 1.75112 0.68376
167.7 0.911157 0.934008 0.913562 1.75167 0.700974
167.8 0.90854 0.930955 0.917053 1.7535 0.722423
167.9 0.905468 0.92831 0.921442 1.75635 0.745703
168 0.901982 0.925952 0.926505 1.75992 0.768263
168.1 0.898174 0.923771 0.932008 1.76393 0.787606
168.2 0.894173 0.921677 0.937723 1.76816 0.8015
168.3 0.890135 0.919606 0.943449 1.77238 0.808168
168.4 0.886233 0.917519 0.949017 1.77648 0.806436
168.5 0.882634 0.915401 0.954301 1.78035 0.795841
168.6 0.879495 0.913262 0.959215 1.78396 0.776684
168.7 0.876946 0.911127 0.96371 1.78732 0.750016
168.8 0.875085 0.909035 0.967763 1.79046 0.717566
168.9 0.873972 0.907034 0.971364 1.7934 0.681617
169 0.873626 0.905173 0.974508 1.79616 0.64483
169.1 0.87403 0.903504 0.97718 1.79873 0.610045
169.2 0.87513 0.902075 0.979349 1.80109 0.580054
169.3 0.876845 0.90093 0.980959 1.80316 0.557386
169.4 0.879069 0.900107 0.981935 1.80481 0.544109
169.5 0.881681 0.899639 0.982188 1.80592 0.541666
169.6 0.88455 0.899553 0.981622 1.80633 0.550756
169.7 0.88754 0.899866 0.98015 1.80591 0.57128
169.8 0.890517 0.900593 0.977712 1.80453 0.602344
169.9 0.893348 0.901734 0.974288 1.80212 0.642323
170 0.895911 0.903283 0.969912 1.79868 0.688983
170.1 0.898093 0.905219 0.964687 1.79426 0.739647
170.2 0.899793 0.90751 0.958783 1.78902 0.791398
170.3 0.900929 0.910108 0.952437 1.78318 0.841289
170.4 0.901437 0.912947 0.945945 1.77702 0.886561
170.5 0.901277 0.915948 0.939647 1.77088 0.924842
170.6 0.900437 0.91902 0.9339 1.76515 0.954306
170.7 0.898934 0.922057 0.929059 1.76019 0.973794
170.8 0.89682 0.924951 0.925442 1.75634 0.98288
170.9 0.894181 0.927593 0.923311 1.7539 0.981875
171 0.891138 0.929877 0.922841 1.75307 0.971781
171.1 0.88784 0.931712 0.924107 1.75397 0.954188
171.2 0.884461 0.933024 0.927068 1.75657 0.931133
171.3 0.881191 0.933765 0.93157 1.76076 0.904929
171.4 0.878225 0.933913 0.937349 1.76631 0.877979
171.5 0.875747 0.933478 0.94405 1.77288 0.852595
171.6 0.873923 0.932501 0.951249 1.78005 0.830829
171.7 0.872881 0.931048 0.958481 1.78739 0.814336
171.8 0.872704 0.929212 0.965279 1.79441 0.804279
171.9 0.873421 0.927102 0.971205 1.80067 0.801272
172 0.875003 0.924836 0.97588 1.80576 0.805379
172.1 0.877361 0.922532 0.979017 1.80938 0.816153
172.2 0.880353 0.920301 0.980438 1.8113 0.832721
172.3 0.883797 0.918237 0.980087 1.81142 0.853885
172.4 0.887481 0.916407 0.978032 1.80978 0.878258
172.5 0.891183 0.914855 0.97446 1.8065 0.904391
172.6 0.894694 0.91359 0.969655 1.80186 0.930899
172.7 0.897833 0.912592 0.963979 1.79617 0.956563
172.8 0.900465 0.911814 0.95784 1.78984 0.980405
172.9 0.902523 0.91119 0.951658 1.78331 1.00173
173 0.904009 0.910636 0.945835 1.77699 1.02013
173.1 0.904999 0.910071 0.940723 1.77129 1.03545
173.2 0.905644 0.909415 0.936601 1.76657 1.04773
173.3 0.906156 0.908608 0.933654 1.76308 1.05711
173.4 0.906791 0.907617 0.931965 1.76101 1.06377
173.5 0.907828 0.906438 0.931516 1.76044 1.06782
173.6 0.909546 0.905107 0.932192 1.76136 1.06923
173.7 0.912196 0.903697 0.933803 1.76368 1.06781
173.8 0.915978 0.902317 0.936098 1.76723 1.06313
173.9 0.921016 0.901105 0.938799 1.77178 1.05461
174 0.927347 0.900218 0.941622 1.7771 1.04155
174.1 0.934908 0.899821 0.944307 1.78291 1.02321
174.2 0.943536 0.900074 0.946641 1.78898 0.998906
174.3 0.952974 0.901115 0.948476 1.79508 0.968189
174.4 0.962885 0.903047 0.949738 1.80105 0.930909
174.5 0.972876 0.905923 0.950436 1.80677 0.88735
174.6 0.98252 0.909737 0.950653 1.81216 0.838303
174.7 0.991388 0.914416 0.95054 1.8172 0.785102
174.8 0.999078 0.919817 0.950297 1.82192 0.729614
174.9 1.00524 0.925727 0.950154 1.82637 0.674178
175 1.00961 0.931874 0.950347 1.83061 0.62149
175.1 1.012 0.937935 0.951094 1.83469 0.57445
175.2 1.01236 0.943555 0.952579 1.83868 0.535968
175.3 1.0107 0.948363 0.954929 1.84258 0.508753
175.4 1.00719 0.951999 0.958204 1.84638 0.495103
175.5 1.00204 0.954131 0.96239 1.85002 0.496711
175.6 0.995551 0.954483 0.967401 1.85342 0.514492
175.7 0.988067 0.952855 0.973082 1.85645 0.548479
175.8 0.979949 0.949134 0.979222 1.85896 0.597759
175.9 0.971554 0.943313 0.985568 1.8608 0.660485
176 0.963206 0.935492 0.991846 1.86182 0.733959
176.1 0.955181 0.925881 0.997777 1.86188 0.814766
176.2 0.94769 0.914788 1.0031 1.86088 0.898975
176.3 0.94087 0.902608 1.00757 1.85875 0.982368
176.4 0.934786 0.889798 1.01102 1.85548 1.0607
