# LAMMPS data file written by OVITO Basic 3.9.0

24 atoms
2 atom types

0.0 7.1350002289 xlo xhi
0.0 7.1350002289 ylo yhi
0.0 7.1350002289 zlo zhi

Masses

1 28.0855  # Si
2 15.9994  # O

Atoms  # atomic

1 1 0.0 0.0 0.0
2 1 0.0 3.5675001145 3.5675001145
3 1 3.5675001145 3.5675001145 0.0
4 1 3.5675001145 0.0 3.5675001145
5 1 5.3512501717 1.7837500572 5.3512501717
6 1 1.7837500572 1.7837500572 1.7837500572
7 1 1.7837500572 5.3512501717 5.3512501717
8 1 5.3512501717 5.3512501717 1.7837500572
9 2 0.8918750286 0.8918750286 0.8918750286
10 2 6.2431252003 2.6756250858 4.4593751431
11 2 2.6756250858 4.4593751431 6.2431252003
12 2 4.4593751431 6.2431252003 2.6756250858
13 2 2.6756250858 6.2431252003 4.4593751431
14 2 6.2431252003 4.4593751431 2.6756250858
15 2 4.4593751431 2.6756250858 6.2431252003
16 2 0.8918750286 4.4593751431 4.4593751431
17 2 6.2431252003 6.2431252003 0.8918750286
18 2 2.6756250858 0.8918750286 2.6756250858
19 2 2.6756250858 2.6756250858 0.8918750286
20 2 6.2431252003 0.8918750286 6.2431252003
21 2 4.4593751431 0.8918750286 4.4593751431
22 2 0.8918750286 6.2431252003 6.2431252003
23 2 0.8918750286 2.6756250858 2.6756250858
24 2 4.4593751431 4.4593751431 0.8918750286
