# LAMMPS data file written by OVITO Basic 3.9.0

24 atoms
2 atom types

0.0 6.3671998978 xlo xhi
0.0 6.3671998978 ylo yhi
0.0 6.3671998978 zlo zhi

Masses

1 15.9994  # O
2 1.0  # H

Atoms  # atomic

1 1 2.3876999617 2.3876999617 2.3876999617
2 1 3.9794999361 3.9794999361 3.9794999361
3 1 2.3876999617 5.5712999106 5.5712999106
4 1 3.9794999361 0.7958999872 0.7958999872
5 1 5.5712999106 5.5712999106 2.3876999617
6 1 0.7958999872 0.7958999872 3.9794999361
7 1 5.5712999106 2.3876999617 5.5712999106
8 1 0.7958999872 3.9794999361 0.7958999872
9 2 3.3969008653 3.3969008653 3.3969008653
10 2 4.5620990069 1.378498867 0.2133011074
11 2 4.9887008398 6.1538989814 1.8051010819
12 2 6.1538989814 1.8051010819 4.9887008398
13 2 1.378498867 4.5620990069 0.2133011074
14 2 1.8051010819 6.1538989814 4.9887008398
15 2 6.1538989814 4.9887008398 1.8051010819
16 2 3.3969008653 0.2133011074 0.2133011074
17 2 4.5620990069 4.5620990069 3.3969008653
18 2 4.9887008398 2.9702988415 4.9887008398
19 2 1.378498867 1.378498867 3.3969008653
20 2 1.8051010819 2.9702988415 1.8051010819
21 2 0.2133011074 3.3969008653 0.2133011074
22 2 2.9702988415 1.8051010819 1.8051010819
23 2 2.9702988415 4.9887008398 4.9887008398
24 2 0.2133011074 0.2133011074 3.3969008653
